anomaly_label,anomaly_score,is_anomaly,calculated_RUL_tons,RUL_Class
1,0.1000173543171774,0,80051,Healthy
1,0.056908945768426644,0,79946,Medium
1,0.09811920903574767,0,79888,Healthy
1,0.05608232549633213,0,79780,Medium
1,0.10237588554771915,0,79722,Healthy
1,0.01604476056370574,0,79636,Healthy
1,0.04172035713750988,0,79617,Medium
1,0.09069099964771138,0,79553,Healthy
1,0.03038150225856684,0,79468,Healthy
1,0.03948018578017032,0,79453,Medium
1,0.09406177588162751,0,79393,Healthy
1,0.029292628523274633,0,79298,Healthy
-1,-0.014909399440725002,1,79283,Medium
1,0.09548150049636811,0,79226,Healthy
-1,-0.004156834808945908,1,79134,Healthy
-1,-0.015423853437607993,1,79113,Medium
1,0.0942747838478582,0,79063,Healthy
-1,-0.006668687243265969,1,78970,Healthy
1,0.04202557999056378,0,78949,Medium
1,0.10435635904687551,0,78900,Healthy
1,0.016597918788483712,0,78799,Healthy
1,0.04136162989144021,0,78785,Medium
1,0.12126543244614452,0,78737,Healthy
-1,-0.144426274370974,1,78635,Healthy
1,0.06231600769326895,0,78621,Medium
1,0.0997128745147815,0,78571,Healthy
-1,-0.11716241388710325,1,78471,Healthy
1,0.06144563694931715,0,78457,Medium
1,0.13167604317853926,0,78398,Healthy
-1,-0.1248769846522313,1,78310,Healthy
1,0.016110649220682505,0,78289,Medium
1,0.12928152509995666,0,78246,Healthy
-1,-0.12581052148292893,1,78147,Healthy
1,0.01595994284243374,0,78121,Medium
1,0.17408293252001789,0,78083,Healthy
-1,-0.1335986433850157,1,77977,Healthy
1,0.010618941043938235,0,77953,Medium
1,0.06754152783720935,0,77908,Healthy
1,0.01588924301827188,0,77835,Healthy
-1,-0.1280209064375526,1,77819,Healthy
1,0.010448064660159129,0,77785,Medium
1,0.13447831759165657,0,77741,Healthy
-1,-0.06058800750383486,1,77672,Healthy
1,0.01692009323850463,0,77661,Healthy
-1,-0.13116979827755693,1,77655,Healthy
1,0.00326186057929434,0,77617,Medium
1,0.08843309655906972,0,77572,Healthy
-1,-0.01979297788257628,1,77512,Healthy
-1,-0.14159084138003064,1,77496,Healthy
1,0.028336275459617588,0,77493,Healthy
1,0.0024654796540511947,0,77448,Medium
1,0.17274886847267745,0,77409,Healthy
1,0.01822826210811257,0,77387,Healthy
1,0.0073178333219774405,0,77357,Healthy
1,0.008573777499079727,0,77340,Healthy
-1,-0.13400499002513855,1,77334,Healthy
1,0.026910954644904117,0,77323,Healthy
1,0.04286495041664895,0,77284,Medium
1,0.17860553946439822,0,77240,Healthy
1,0.028271092169960044,0,77219,Healthy
1,0.016762148777219044,0,77197,Healthy
1,0.021158205001714836,0,77172,Healthy
1,0.011040043181726689,0,77170,Healthy
-1,-0.005278383025458244,1,77159,Healthy
1,0.05795568299487369,0,77120,Medium
1,0.16644217204743206,0,77070,Healthy
1,0.026607118754273795,0,77049,Healthy
-1,-0.0027362693374967106,1,77040,Healthy
-1,-0.03684322930163508,1,77009,Healthy
1,0.020019469048264016,0,77001,Healthy
-1,-0.007908338112193825,1,76995,Healthy
1,0.08261065941325596,0,76947,Medium
1,0.18972273429548914,0,76907,Healthy
-1,-0.006142287088735654,1,76886,Healthy
1,0.010861014710985994,0,76876,Healthy
-1,-0.0310481740484444,1,76853,Healthy
-1,-0.011899505617254391,1,76838,Healthy
1,0.016391356838007742,0,76825,Healthy
1,0.09339994292010495,0,76775,Medium
1,0.18793385866200912,0,76744,Healthy
-1,-0.00785909386024275,1,76722,Healthy
-1,-0.013212208787687696,1,76718,Healthy
-1,-0.005972450166852883,1,76685,Healthy
-1,-0.012573171573891484,1,76674,Healthy
-1,-0.14578744732487525,1,76660,Healthy
1,0.12593961390906472,0,76615,Medium
1,0.17500384626910997,0,76584,Healthy
1,0.029827645120682145,0,76554,Healthy
1,0.017673110053005314,0,76551,Healthy
1,0.18202562588505383,0,76525,Healthy
1,0.009578190329574188,0,76503,Healthy
-1,-0.11637162204901097,1,76496,Healthy
1,0.13439050946572684,0,76454,Medium
1,0.1769165655738737,0,76424,Healthy
1,0.062730068103175,0,76391,Healthy
-1,-0.14473950254154544,1,76387,Healthy
1,0.19538528477969364,0,76362,Healthy
-1,-0.14389714063004178,1,76339,Healthy
-1,-0.12340647821974537,1,76335,Healthy
1,0.11223341874899218,0,76288,Medium
1,0.18761574726165808,0,76257,Healthy
1,0.056461797391159974,0,76225,Healthy
-1,-0.11527017812108853,1,76223,Healthy
1,0.1868122128777055,0,76198,Healthy
-1,-0.11602841254257878,1,76175,Healthy
-1,-0.12416274185627241,1,76172,Healthy
1,0.1205782657228503,0,76122,Medium
1,0.18563729395530276,0,76094,Healthy
1,0.04605945887744589,0,76063,Healthy
-1,-0.12379656600214772,1,76061,Healthy
1,0.19049256538994452,0,76038,Healthy
-1,-0.1252529531743909,1,76013,Healthy
-1,-0.1320899371391061,1,76012,Healthy
1,0.10793905546368232,0,75958,Medium
1,0.1508371261674335,0,75919,Healthy
1,0.03326923304581697,0,75903,Healthy
-1,-0.1248820331791265,1,75899,Healthy
1,0.1585607865982333,0,75878,Healthy
-1,-0.1368477679026494,1,75851,Healthy
-1,-0.12757557700721422,1,75851,Healthy
1,0.11698628992791565,0,75795,Medium
1,0.1869851645342927,0,75753,Healthy
1,0.04333038944572498,0,75740,Healthy
-1,-0.13183503178044853,1,75739,Healthy
1,0.18871150123178287,0,75718,Healthy
-1,-0.1332596829955538,1,75691,Healthy
-1,-0.13325751649503403,1,75681,Healthy
1,0.0974282572686514,0,75632,Medium
1,0.19478315164145732,0,75586,Healthy
1,0.010620904471118742,0,75584,Healthy
-1,-0.1368477679026494,1,75577,Healthy
1,0.1772455098454142,0,75555,Healthy
-1,-0.13754192888912553,1,75529,Healthy
-1,-0.12701791532647388,1,75523,Healthy
1,0.10495762845677858,0,75469,Medium
1,0.18683158292631374,0,75426,Healthy
1,0.04816109217224618,0,75416,Healthy
-1,-0.13341285314852247,1,75407,Healthy
1,0.19390448798479548,0,75395,Healthy
-1,-0.13148136790760778,1,75359,Healthy
-1,-0.1351434855641559,1,75359,Healthy
1,0.10887366543957522,0,75305,Medium
-1,-0.005513317769262116,1,75261,Healthy
