antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,contains_RUL_target
"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})",frozenset({'num_crystallizer_BIN_Medium'}),0.2888,0.4622,0.181,0.6267313019390581,1.3559742577651626,1.0,0.04751664,1.4407851576994435,0.36912664922409555,0.31754385964912274,0.30593399393651566,0.5091683337908186,"alloy_speed, meter/minute_BIN_Medium, num_stream_BIN_Medium",num_crystallizer_BIN_Medium,False
frozenset({'num_crystallizer_BIN_Medium'}),"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'num_stream_BIN_Medium'})",0.4622,0.2888,0.181,0.391605365642579,1.3559742577651626,1.0,0.04751664,1.1689780938833572,0.48814219585008695,0.31754385964912274,0.14455197643782194,0.5091683337908186,num_crystallizer_BIN_Medium,"alloy_speed, meter/minute_BIN_Medium, num_stream_BIN_Medium",False
frozenset({'num_stream_BIN_Medium'}),"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium'})",0.3346,0.462,0.1988,0.5941422594142259,1.2860222065242986,1.0,0.0442148,1.3255876288659794,0.3342477467752109,0.33255269320843095,0.24561758255432325,0.5122226448586281,num_stream_BIN_Medium,"num_crystallizer_BIN_Medium, water_consumption, liter/minute_BIN_High",False
"frozenset({'water_consumption, liter/minute_BIN_High', 'num_crystallizer_BIN_Medium'})",frozenset({'num_stream_BIN_Medium'}),0.462,0.3346,0.1988,0.4303030303030303,1.2860222065242986,1.0,0.0442148,1.1679893617021275,0.4133986072569244,0.33255269320843095,0.14382781830933317,0.5122226448586281,"num_crystallizer_BIN_Medium, water_consumption, liter/minute_BIN_High",num_stream_BIN_Medium,False
frozenset({'num_stream_BIN_Medium'}),frozenset({'num_crystallizer_BIN_Medium'}),0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,num_stream_BIN_Medium,num_crystallizer_BIN_Medium,False
"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Medium'})",frozenset({'num_crystallizer_BIN_Medium'}),0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,"num_stream_BIN_Medium, resistance, tonn_BIN_Low",num_crystallizer_BIN_Medium,False
frozenset({'num_stream_BIN_Medium'}),"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium'})",0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,num_stream_BIN_Medium,"num_crystallizer_BIN_Medium, resistance, tonn_BIN_Low",False
"frozenset({'water_consumption, liter/minute_BIN_High', 'num_stream_BIN_Medium'})",frozenset({'num_crystallizer_BIN_Medium'}),0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,"num_stream_BIN_Medium, water_consumption, liter/minute_BIN_High",num_crystallizer_BIN_Medium,False
"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})",frozenset({'num_crystallizer_BIN_Medium'}),0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,"num_stream_BIN_Medium, temperature_measurement1, Celsius deg._BIN_Low",num_crystallizer_BIN_Medium,False
frozenset({'num_stream_BIN_Medium'}),"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement1, Celsius deg._BIN_Low'})",0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,num_stream_BIN_Medium,"num_crystallizer_BIN_Medium, temperature_measurement1, Celsius deg._BIN_Low",False
"frozenset({'temperature_measurement2, Celsius deg._BIN_Low', 'num_stream_BIN_Medium'})",frozenset({'num_crystallizer_BIN_Medium'}),0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,"num_stream_BIN_Medium, temperature_measurement2, Celsius deg._BIN_Low",num_crystallizer_BIN_Medium,False
frozenset({'num_stream_BIN_Medium'}),"frozenset({'num_crystallizer_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})",0.3346,0.4622,0.1988,0.5941422594142259,1.2854657278542319,1.0,0.04414788,1.325094845360825,0.3337418560052832,0.3324414715719064,0.24533703870253984,0.512129545977126,num_stream_BIN_Medium,"num_crystallizer_BIN_Medium, temperature_measurement2, Celsius deg._BIN_Low",False
frozenset({'num_crystallizer_BIN_Medium'}),frozenset({'num_stream_BIN_Medium'}),0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,num_crystallizer_BIN_Medium,num_stream_BIN_Medium,False
"frozenset({'resistance, tonn_BIN_Low', 'num_crystallizer_BIN_Medium'})",frozenset({'num_stream_BIN_Medium'}),0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,"num_crystallizer_BIN_Medium, resistance, tonn_BIN_Low",num_stream_BIN_Medium,False
frozenset({'num_crystallizer_BIN_Medium'}),"frozenset({'resistance, tonn_BIN_Low', 'num_stream_BIN_Medium'})",0.4622,0.3346,0.1988,0.430116832540026,1.2854657278542319,1.0,0.04414788,1.1676077448747153,0.41292642429511983,0.3324414715719064,0.1435479899910219,0.512129545977126,num_crystallizer_BIN_Medium,"num_stream_BIN_Medium, resistance, tonn_BIN_Low",False
