kmeans_cluster,dbscan_cluster,calculated_RUL_tons,RUL_Class
0,0,80051,Healthy
1,1,79946,Medium
2,0,79888,Healthy
1,1,79780,Medium
0,0,79722,Healthy
1,1,79636,Healthy
1,1,79617,Medium
0,0,79553,Healthy
1,1,79468,Healthy
1,1,79453,Medium
0,0,79393,Healthy
1,1,79298,Healthy
1,1,79283,Medium
2,0,79226,Healthy
1,1,79134,Healthy
1,1,79113,Medium
2,0,79063,Healthy
1,1,78970,Healthy
1,1,78949,Medium
2,0,78900,Healthy
1,1,78799,Healthy
1,1,78785,Medium
2,0,78737,Healthy
3,2,78635,Healthy
1,1,78621,Medium
2,0,78571,Healthy
3,2,78471,Healthy
1,1,78457,Medium
2,0,78398,Healthy
3,3,78310,Healthy
1,1,78289,Medium
2,0,78246,Healthy
3,3,78147,Healthy
1,1,78121,Medium
0,0,78083,Healthy
3,3,77977,Healthy
1,1,77953,Medium
0,0,77908,Healthy
1,1,77835,Healthy
3,2,77819,Healthy
1,1,77785,Medium
0,0,77741,Healthy
1,1,77672,Healthy
1,1,77661,Healthy
3,3,77655,Healthy
1,1,77617,Medium
0,0,77572,Healthy
1,1,77512,Healthy
3,3,77496,Healthy
1,1,77493,Healthy
1,1,77448,Medium
0,0,77409,Healthy
1,1,77387,Healthy
1,1,77357,Healthy
1,1,77340,Healthy
3,2,77334,Healthy
1,1,77323,Healthy
2,0,77284,Medium
2,0,77240,Healthy
1,1,77219,Healthy
1,1,77197,Healthy
1,1,77172,Healthy
2,0,77170,Healthy
1,1,77159,Healthy
2,0,77120,Medium
0,0,77070,Healthy
1,1,77049,Healthy
1,1,77040,Healthy
2,0,77009,Healthy
1,1,77001,Healthy
1,1,76995,Healthy
2,0,76947,Medium
0,0,76907,Healthy
1,1,76886,Healthy
1,1,76876,Healthy
1,0,76853,Healthy
1,1,76838,Healthy
1,1,76825,Healthy
2,0,76775,Medium
0,0,76744,Healthy
1,1,76722,Healthy
1,1,76718,Healthy
1,1,76685,Healthy
1,1,76674,Healthy
3,2,76660,Healthy
2,0,76615,Medium
2,0,76584,Healthy
1,1,76554,Healthy
1,1,76551,Healthy
2,0,76525,Healthy
1,1,76503,Healthy
3,2,76496,Healthy
2,0,76454,Medium
0,0,76424,Healthy
1,1,76391,Healthy
3,2,76387,Healthy
2,0,76362,Healthy
