support,itemsets
0.5516,frozenset({'cast_in_row_BIN_Low'})
0.3598,frozenset({'cast_in_row_BIN_Medium'})
0.6882,"frozenset({'steel_weight, tonn_BIN_High'})"
0.311,"frozenset({'steel_weight, tonn_BIN_Medium'})"
0.9996,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High'})"
1.0,"frozenset({'resistance, tonn_BIN_Low'})"
0.7348,"frozenset({'swing_frequency, amount/minute_BIN_High'})"
0.1696,"frozenset({'swing_frequency, amount/minute_BIN_Medium'})"
0.338,"frozenset({'crystallizer_movement, mm_BIN_High'})"
0.6334,"frozenset({'crystallizer_movement, mm_BIN_Low'})"
0.8828,"frozenset({'alloy_speed, meter/minute_BIN_Medium'})"
0.9992,"frozenset({'water_consumption, liter/minute_BIN_High'})"
0.9758,"frozenset({'water_temperature_delta, Celsius deg._BIN_High'})"
1.0,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low'})"
1.0,"frozenset({'temperature_measurement2, Celsius deg._BIN_Low'})"
0.2722,frozenset({'num_crystallizer_BIN_High'})
0.2656,frozenset({'num_crystallizer_BIN_Low'})
0.4622,frozenset({'num_crystallizer_BIN_Medium'})
0.3368,frozenset({'num_stream_BIN_High'})
0.3286,frozenset({'num_stream_BIN_Low'})
0.3346,frozenset({'num_stream_BIN_Medium'})
0.3724,"frozenset({'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.1784,"frozenset({'cast_in_row_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.5516,"frozenset({'cast_in_row_BIN_Low', 'steel_temperature_grab1, Celsius deg._BIN_High'})"
0.5516,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Low'})"
0.3882,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Low'})"
0.1592,"frozenset({'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_High'})"
0.3792,"frozenset({'cast_in_row_BIN_Low', 'crystallizer_movement, mm_BIN_Low'})"
0.4912,"frozenset({'cast_in_row_BIN_Low', 'alloy_speed, meter/minute_BIN_Medium'})"
0.5516,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Low'})"
0.533,"frozenset({'cast_in_row_BIN_Low', 'water_temperature_delta, Celsius deg._BIN_High'})"
0.5516,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.5516,"frozenset({'cast_in_row_BIN_Low', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1512,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Low'})"
0.2548,"frozenset({'cast_in_row_BIN_Low', 'num_crystallizer_BIN_Medium'})"
0.19,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_High'})"
0.1876,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_Low'})"
0.174,"frozenset({'cast_in_row_BIN_Low', 'num_stream_BIN_Medium'})"
0.251,"frozenset({'steel_weight, tonn_BIN_High', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'resistance, tonn_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.2682,"frozenset({'swing_frequency, amount/minute_BIN_High', 'cast_in_row_BIN_Medium'})"
0.2196,"frozenset({'crystallizer_movement, mm_BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3124,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.359,"frozenset({'water_consumption, liter/minute_BIN_High', 'cast_in_row_BIN_Medium'})"
0.3542,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'temperature_measurement1, Celsius deg._BIN_Low', 'cast_in_row_BIN_Medium'})"
0.3598,"frozenset({'cast_in_row_BIN_Medium', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1638,"frozenset({'num_crystallizer_BIN_Medium', 'cast_in_row_BIN_Medium'})"
0.6878,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.6882,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.489,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_High'})"
0.238,"frozenset({'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_High'})"
0.4306,"frozenset({'steel_weight, tonn_BIN_High', 'crystallizer_movement, mm_BIN_Low'})"
0.5982,"frozenset({'steel_weight, tonn_BIN_High', 'alloy_speed, meter/minute_BIN_Medium'})"
0.6882,"frozenset({'water_consumption, liter/minute_BIN_High', 'steel_weight, tonn_BIN_High'})"
0.6748,"frozenset({'water_temperature_delta, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_High'})"
0.6882,"frozenset({'steel_weight, tonn_BIN_High', 'temperature_measurement1, Celsius deg._BIN_Low'})"
0.6882,"frozenset({'steel_weight, tonn_BIN_High', 'temperature_measurement2, Celsius deg._BIN_Low'})"
0.1858,"frozenset({'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_High'})"
0.183,"frozenset({'steel_weight, tonn_BIN_High', 'num_crystallizer_BIN_Low'})"
0.3194,"frozenset({'num_crystallizer_BIN_Medium', 'steel_weight, tonn_BIN_High'})"
0.2314,"frozenset({'num_stream_BIN_High', 'steel_weight, tonn_BIN_High'})"
0.2218,"frozenset({'num_stream_BIN_Low', 'steel_weight, tonn_BIN_High'})"
0.235,"frozenset({'steel_weight, tonn_BIN_High', 'num_stream_BIN_Medium'})"
0.311,"frozenset({'steel_temperature_grab1, Celsius deg._BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.311,"frozenset({'resistance, tonn_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2452,"frozenset({'swing_frequency, amount/minute_BIN_High', 'steel_weight, tonn_BIN_Medium'})"
0.202,"frozenset({'crystallizer_movement, mm_BIN_Low', 'steel_weight, tonn_BIN_Medium'})"
0.2838,"frozenset({'alloy_speed, meter/minute_BIN_Medium', 'steel_weight, tonn_BIN_Medium'})"
