PC1,PC2,calculated_RUL_tons,RUL_Class
0.24946217279732338,-0.09144416730366096,80051,Healthy
-3.631653228281787,-2.607661439048282,79946,Medium
0.12123493556768003,0.11819251035371485,79888,Healthy
-3.628647720606614,-2.604890918991953,79780,Medium
0.4366681052842491,-0.5567443128224763,79722,Healthy
-4.156199738061089,-1.2840959404824126,79636,Healthy
-4.399660618896647,-1.2355313397839742,79617,Medium
0.29985544203122716,-0.4844203706647094,79553,Healthy
-3.2580476212222824,-1.686856146377073,79468,Healthy
-4.396704926265813,-1.2328067399495737,79453,Medium
0.41487623664236817,-0.23744285212817517,79393,Healthy
-3.069398807034444,-2.101642135228043,79298,Healthy
-2.928545962135247,-3.9785066630185106,79283,Medium
0.13546255681235084,-0.07715516727110834,79226,Healthy
-3.977118882658555,-0.2784123261199199,79134,Healthy
-2.925507244430514,-3.9757055294808965,79113,Medium
0.15160873220820906,0.04079215274744077,79063,Healthy
-4.030731936913698,-0.1994684611856712,78970,Healthy
-3.4889592494993757,-2.750201546938304,78949,Medium
0.08132316953880722,0.2682650787137594,78900,Healthy
-3.076984870272597,-2.1370213817293817,78799,Healthy
-3.4859537418242033,-2.7474310268819755,78785,Medium
0.26302744475300804,0.5014381754319281,78737,Healthy
-5.78782184429935,6.52388993717774,78635,Healthy
-3.8761605970576296,-2.110879157490239,78621,Medium
-0.04397299651649096,0.3117321932302732,78571,Healthy
-5.032102925178512,5.235608894136851,78471,Healthy
-3.873121879352897,-2.1080780239526247,78457,Medium
0.7012362285043682,-0.16583058136531767,78398,Healthy
-6.262178049851562,3.5631319755901267,78310,Healthy
-4.536396924959034,-1.217799069557573,78289,Medium
0.6747707736550261,1.1589325817822478,78246,Healthy
-6.390617527612453,3.7205077596033056,78147,Healthy
-4.533358207254301,-1.214997936019959,78121,Medium
1.0515771587581983,-0.04170387384655027,78083,Healthy
-6.303270975986737,3.247150954629201,77977,Healthy
-4.480625375518459,-1.3050691884646923,77953,Medium
2.1931683100636366,-2.550399647379191,77908,Healthy
-4.550546672468427,-0.7656883993251017,77835,Healthy
-5.179180752313687,5.392707524922743,77819,Healthy
-4.477603262828506,-1.3022833616677207,77785,Medium
1.7539253088465032,-1.356345600276086,77741,Healthy
-5.592757553822063,1.0722212522365981,77672,Healthy
-4.165963486751705,-1.2930963039803203,77661,Healthy
-6.470663393406708,3.8204633445939167,77655,Healthy
-3.2508097737412607,-1.4214075160735806,77617,Medium
2.1020794465927732,-2.1115822187803426,77572,Healthy
-4.9770460403352486,0.23718724850516212,77512,Healthy
-6.5280517009359595,4.12164258689933,77496,Healthy
-3.269305821243096,-1.6972341165328235,77493,Healthy
-3.247771056036528,-1.4186063825359665,77448,Medium
1.3213034370853267,-0.5171478243866544,77409,Healthy
-4.163671994712071,-1.2909839737716275,77387,Healthy
-4.302347699658441,-0.638328332405074,77357,Healthy
-4.189775077946169,-1.3150461700619522,77340,Healthy
-5.670767990993755,6.0247452103987635,77334,Healthy
-3.080706822099597,-2.1120660256057215,77323,Healthy
-1.4269087805155398,1.5084677752590512,77284,Medium
0.7311932647911518,0.14821211904750003,77240,Healthy
-3.267030934218241,-1.6951370930647738,77219,Healthy
-4.507611591947421,-0.5546772921960806,77197,Healthy
-3.2908923404570447,-1.7171328793683338,77172,Healthy
-2.491083051790478,1.1481535018545785,77170,Healthy
-3.9884102927089287,-0.2888209097569559,77159,Healthy
-1.280917490570126,1.6430446389896713,77120,Medium
1.128020437427534,-0.5164097798939677,77070,Healthy
-3.0783821200304025,-2.1099230819157437,77049,Healthy
-4.748252550442543,-0.0648719636233497,77040,Healthy
-3.3805908198181096,2.7692269771442417,77009,Healthy
-3.102309946328326,-2.1319800951818744,77001,Healthy
-4.042089767023191,-0.20993827178527802,76995,Healthy
-1.0078275066541966,1.210649129650308,76947,Medium
0.8606293997454482,0.25086065828344367,76907,Healthy
-3.986135405684074,-0.28672388628890594,76886,Healthy
-4.988643491390627,-0.35206089318822303,76876,Healthy
-3.193321341134145,0.9436515971648652,76853,Healthy
-4.010129652041117,-0.30884212651760784,76838,Healthy
-3.0884921455151098,-2.147628952994773,76825,Healthy
-0.8618362167087829,1.3452259933809279,76775,Medium
0.9565892471084196,0.0663174885277274,76744,Healthy
-4.039731854924437,-0.2077647146140147,76722,Healthy
-5.021673741620239,-0.006065241058950573,76718,Healthy
-4.498052296478239,-0.9127400798046584,76685,Healthy
-4.06384233638494,-0.22999010202721526,76674,Healthy
-5.799329119541862,6.5132823659123495,76660,Healthy
-0.16064122804374584,2.079321119269933,76615,Medium
0.848154648427956,0.38660324637563226,76584,Healthy
-4.695151058530775,-0.8682865517767806,76554,Healthy
-3.0861010233867954,-2.145424782342224,76551,Healthy
0.7902042282720011,0.6927304881803934,76525,Healthy
-3.110277924906418,-2.1677113967179955,76503,Healthy
-5.043610200421024,5.225001322871459,76496,Healthy
-0.01624401951720824,2.212428535898854,76454,Medium
1.1717954984692316,-0.14895004553852398,76424,Healthy
-3.79058257812659,-2.3652155491458666,76391,Healthy
-5.796937997413548,6.515486536564898,76387,Healthy
0.48911841998238575,0.9693858123561149,76362,Healthy
-5.82111489893317,6.493199922189127,76339,Healthy
-6.273685325094074,3.5525244043247355,76335,Healthy
-0.4063689282777267,0.5162181415612966,76288,Medium
0.8307970592833606,0.1116871020149912,76257,Healthy
-4.378561374299811,-1.4930917320904051,76225,Healthy
-5.04123568330749,5.227190186783366,76223,Healthy
0.2380495946953668,1.3776046994220343,76198,Healthy
-5.065395979812332,5.204918879148237,76175,Healthy
-6.401693072470687,3.710298163594625,76172,Healthy
-0.260377638332313,0.6507950052919166,76122,Medium
0.6533933964282463,0.5493721117830899,76094,Healthy
-3.9121446468211185,-2.0668013373381577,76063,Healthy
-6.27129420296576,3.5547285749772843,76061,Healthy
0.6356337227785395,0.8693548940037754,76038,Healthy
-6.295471104485382,3.532441960601513,76013,Healthy
-5.410495017694615,5.655092816328244,76012,Healthy
