feature,importance
"num__resistance, tonn",0.14762480701741063
num__num_crystallizer,0.14348104252149096
num__num_stream,0.07886926947508487
num__cast_in_row,0.055963217283044174
"num__steel_temperature_grab1, Celsius deg.",0.05002751612986435
"num__temperature_measurement1, Celsius deg.",0.04201542609768375
"num__temperature_measurement2, Celsius deg.",0.04180313566613565
"num__steel_weight, tonn",0.03594586827392336
"num__swing_frequency, amount/minute",0.01734942687292505
"num__crystallizer_movement, mm",0.016393785905146587
"num__water_consumption, liter/minute",0.007016850138563202
cat__steel_type_Arm500,0.004085146908917461
cat__steel_type_1015,0.0036823816017304985
"num__water_temperature_delta, Celsius deg.",0.0028681476572795053
cat__steel_type_St3sp,0.002350105737824747
cat__steel_type_1018,0.001819336919709819
cat__steel_type_St4sp,0.0018103199576362209
cat__steel_type_25G2S,0.0017603507032871047
"num__alloy_speed, meter/minute",0.0017314282025247404
cat__workpiece_slice_geometry_180x180,0.0016131922830807837
cat__workpiece_slice_geometry_150x150,0.0014568368367133952
cat__alloy_type_open,0.0011751935117026403
cat__steel_type_Arm240,0.0010105457682795223
cat__alloy_type_close,0.0009947109424471524
cat__steel_type_1010,0.0008803779893678115
cat__datetime_combined_7/9/2020 0:51,0.0006233670719048918
cat__datetime_combined_7/9/2020 7:04,0.0005918451301692582
cat__datetime_combined_7/9/2020 4:13,0.0005170365614545609
cat__datetime_combined_7/9/2020 4:54,0.0004969400927371774
cat__datetime_combined_7/8/2020 21:17,0.00047075543167678563
cat__datetime_combined_7/9/2020 2:53,0.0004675121180780586
cat__datetime_combined_7/9/2020 3:33,0.0004536394905614503
cat__datetime_combined_7/9/2020 2:18,0.0004378449711078833
cat__datetime_combined_7/8/2020 8:13,0.00043374412767642684
cat__steel_type_V500V,0.0004256302773237009
cat__datetime_combined_7/8/2020 2:03,0.00041358018507372233
cat__datetime_combined_7/8/2020 17:41,0.00040968045983842216
cat__datetime_combined_7/13/2020 1:03,0.0004079972041954618
cat__datetime_combined_5/25/2020 12:03,0.0003997360789795466
cat__datetime_combined_7/8/2020 14:56,0.000397324115536777
cat__datetime_combined_7/8/2020 17:00,0.00038987761054423085
cat__datetime_combined_7/8/2020 3:25,0.0003835900032002431
cat__datetime_combined_7/8/2020 1:17,0.0003741569322734566
cat__datetime_combined_5/25/2020 7:37,0.0003713021497793848
cat__datetime_combined_7/8/2020 8:48,0.00037099865881222124
cat__datetime_combined_7/9/2020 6:21,0.0003697219057888784
cat__datetime_combined_1/9/2020 18:24,0.0003689772252531914
cat__datetime_combined_1/7/2020 16:59,0.00036370053206523844
cat__datetime_combined_7/9/2020 20:58,0.0003634067893292547
cat__datetime_combined_7/17/2020 22:59,0.00036175693819950254
cat__datetime_combined_7/8/2020 5:25,0.00035966611032297967
cat__datetime_combined_5/9/2020 3:08,0.00035786763749462864
cat__datetime_combined_7/8/2020 12:56,0.0003536860292442676
cat__datetime_combined_7/8/2020 2:40,0.00035222281158715546
cat__datetime_combined_1/9/2020 19:45,0.0003501681584359971
cat__datetime_combined_7/13/2020 8:50,0.0003489349953270122
cat__datetime_combined_7/8/2020 22:33,0.0003474718365115926
cat__datetime_combined_7/8/2020 21:52,0.00034747151295611234
cat__datetime_combined_5/9/2020 7:46,0.00034732234882376415
cat__datetime_combined_7/13/2020 3:46,0.000342401348438087
cat__datetime_combined_5/26/2020 0:02,0.00034059235282154387
cat__datetime_combined_7/13/2020 2:24,0.0003405781632662414
cat__datetime_combined_1/8/2020 23:21,0.00033961494730715515
cat__datetime_combined_7/13/2020 13:45,0.0003379153507239314
cat__datetime_combined_1/7/2020 4:11,0.00033454629101433304
cat__datetime_combined_7/8/2020 13:37,0.0003343371848656573
cat__datetime_combined_7/14/2020 3:25,0.00033424587917916957
cat__datetime_combined_1/10/2020 18:54,0.0003318970026866152
cat__datetime_combined_7/9/2020 21:46,0.0003307352844610377
cat__datetime_combined_5/9/2020 0:14,0.0003300986946381261
cat__datetime_combined_7/13/2020 11:40,0.00033004544418823443
cat__datetime_combined_7/15/2020 2:52,0.00032939573999922906
cat__datetime_combined_1/8/2020 22:11,0.0003282733013631352
cat__datetime_combined_1/8/2020 0:07,0.0003268090662099058
cat__datetime_combined_1/9/2020 19:04,0.00032647045516072425
