feature,importance
num__num_crystallizer,0.28107529598569125
"num__resistance, tonn",0.2458810618727952
num__num_stream,0.1977288226783857
num__cast_in_row,0.03678475354731091
"num__swing_frequency, amount/minute",0.034471943473825886
"num__steel_temperature_grab1, Celsius deg.",0.027340445727580143
"num__crystallizer_movement, mm",0.02248767488849937
cat__steel_type_1010,0.019573574359491253
"num__temperature_measurement1, Celsius deg.",0.013260488075368126
"num__steel_weight, tonn",0.01311833854236217
"num__temperature_measurement2, Celsius deg.",0.010653978250745218
"num__water_consumption, liter/minute",0.008582926336495931
cat__steel_type_Arm500,0.0056309858801254
cat__steel_type_St3sp,0.005198510525005371
cat__steel_type_1018,0.0043664536624261644
cat__steel_type_St4sp,0.0035762559887978214
cat__steel_type_1015,0.0028505144228640217
cat__workpiece_slice_geometry_180x180,0.001839881896922679
cat__workpiece_slice_geometry_150x150,0.001836226384029895
"num__alloy_speed, meter/minute",0.0014016452525912639
cat__datetime_combined_7/8/2020 21:52,0.0009456211892518382
cat__steel_type_25G2S,0.0007344756447075503
cat__datetime_combined_7/8/2020 4:45,0.00068836972139273
cat__datetime_combined_7/9/2020 0:51,0.0006319284292958621
cat__datetime_combined_8/9/2020 0:07,0.0006067609502554217
cat__datetime_combined_7/9/2020 7:04,0.0005066644286838437
cat__datetime_combined_8/9/2020 10:13,0.0005009568522765473
cat__datetime_combined_7/7/2020 14:57,0.0004918641272715257
cat__datetime_combined_7/9/2020 4:54,0.0004903361407498868
cat__datetime_combined_8/9/2020 2:08,0.0004889780739262148
cat__datetime_combined_8/9/2020 2:44,0.00047955647180537446
cat__datetime_combined_8/9/2020 12:52,0.0004753957676558962
cat__datetime_combined_7/9/2020 3:33,0.0004680039933189654
cat__datetime_combined_7/8/2020 2:40,0.00046634624980995557
cat__datetime_combined_7/8/2020 4:05,0.00046453520124122564
cat__datetime_combined_8/9/2020 6:08,0.00046112512578562747
cat__datetime_combined_8/9/2020 3:24,0.0004516673543372967
cat__datetime_combined_7/8/2020 21:17,0.00044122259623080134
cat__datetime_combined_7/8/2020 10:51,0.0004411159312698101
cat__datetime_combined_7/9/2020 2:53,0.00043771010193774867
cat__datetime_combined_8/9/2020 7:01,0.0004313569029230268
cat__datetime_combined_6/9/2020 0:14,0.00042314809460770777
cat__datetime_combined_8/9/2020 4:49,0.00042285599144316875
cat__datetime_combined_7/8/2020 8:13,0.00042283280649722425
cat__datetime_combined_8/9/2020 8:47,0.00042020238563726415
cat__datetime_combined_7/13/2020 6:17,0.0004190379004869055
cat__datetime_combined_7/8/2020 0:53,0.0004136284700685427
cat__datetime_combined_7/8/2020 8:48,0.0004104261804198604
cat__datetime_combined_7/8/2020 17:41,0.0004087518839066842
cat__datetime_combined_8/9/2020 8:14,0.00040842444423493384
cat__datetime_combined_8/9/2020 9:37,0.00040548697556503965
cat__datetime_combined_7/9/2020 0:04,0.0003951016741787829
"num__water_temperature_delta, Celsius deg.",0.00039216365642294736
cat__datetime_combined_8/9/2020 5:31,0.0003860811712165715
cat__datetime_combined_8/9/2020 11:38,0.0003825725648283704
cat__datetime_combined_7/8/2020 23:53,0.00037129897398483413
cat__datetime_combined_6/9/2020 17:23,0.00036785387606193097
cat__datetime_combined_7/9/2020 5:36,0.00035982311298463396
cat__datetime_combined_8/9/2020 7:32,0.00035386791759604304
cat__datetime_combined_8/9/2020 13:45,0.0003524648826561986
cat__datetime_combined_6/9/2020 22:06,0.0003475058953801858
cat__datetime_combined_7/5/2020 0:10,0.0003468642286744973
cat__datetime_combined_6/9/2020 22:49,0.0003416914805267969
cat__datetime_combined_7/9/2020 7:36,0.0003416143140609024
cat__datetime_combined_6/9/2020 23:29,0.00033859434459574187
cat__datetime_combined_8/26/2020 7:41,0.00032898301008030864
cat__datetime_combined_7/9/2020 6:21,0.00032867131322500637
cat__datetime_combined_7/5/2020 22:23,0.00030428137648955524
cat__datetime_combined_7/16/2020 4:57,0.00030242653233587564
cat__datetime_combined_7/9/2020 2:18,0.0002895659871382732
cat__datetime_combined_7/13/2020 14:24,0.00028257029029240947
cat__datetime_combined_8/25/2020 20:50,0.0002675940822359021
cat__datetime_combined_7/15/2020 2:52,0.0002659798448611531
cat__datetime_combined_7/16/2020 8:22,0.00026380586519508337
cat__datetime_combined_6/9/2020 20:01,0.0002565206841093502
cat__datetime_combined_8/26/2020 8:16,0.0002564193991354773
cat__datetime_combined_7/13/2020 15:41,0.0002529098832214318
cat__datetime_combined_7/15/2020 5:00,0.0002495775878756611
cat__datetime_combined_7/15/2020 15:57,0.0002480628096972699
cat__datetime_combined_7/8/2020 7:26,0.0002454117518310978
cat__datetime_combined_5/19/2020 23:49,0.00024390651361713334
cat__datetime_combined_7/9/2020 23:17,0.00023426149239615663
cat__datetime_combined_7/9/2020 1:41,0.00022934913212010465
cat__datetime_combined_8/26/2020 21:38,0.0002265486251436535
cat__datetime_combined_5/9/2020 11:05,0.00022229815497498164
