Objects,Attributes,Condition
30012903,steel_type=Arm500,steel_weighttonn_BIN=High
30012903,steel_type=Arm500,steel_temperature_grab1Celsius_BIN=High
30012903,steel_type=Arm500,resistance_tonn_BIN=Low
30012903,steel_type=Arm500,swing_frequency_amount_minute_BIN=High
30012903,steel_type=Arm500,crystallizer_movementmm_BIN=Low
30012903,steel_type=Arm500,alloy_speed_meter_minute_BIN=Medium
30012903,steel_type=Arm500,water_consumption_BIN=High
30012903,steel_type=Arm500,water_temperature_deltaCelsius_BIN=High
30012903,steel_type=Arm500,temperature_measurement1_Celsius_BIN=Low
30012903,steel_type=Arm500,temperature_measurement2_Celsius_BIN=Low
30012903,steel_type=25G2S,cast_in_row_BIN=Low
30012903,steel_type=25G2S,steel_weighttonn_BIN=High
30012903,steel_type=25G2S,steel_temperature_grab1Celsius_BIN=High
30012903,steel_type=25G2S,resistance_tonn_BIN=Low
30012903,steel_type=25G2S,swing_frequency_amount_minute_BIN=High
30012903,steel_type=25G2S,crystallizer_movementmm_BIN=High
30012903,steel_type=25G2S,alloy_speed_meter_minute_BIN=Medium
30012903,steel_type=25G2S,water_consumption_BIN=High
30012903,steel_type=25G2S,water_temperature_deltaCelsius_BIN=High
30012903,steel_type=25G2S,temperature_measurement1_Celsius_BIN=Low
30012903,steel_type=25G2S,temperature_measurement2_Celsius_BIN=Low
30012903,steel_type=1015,cast_in_row_BIN=Low
30012903,steel_type=1015,steel_weighttonn_BIN=Medium
30012903,steel_type=1015,steel_temperature_grab1Celsius_BIN=High
30012903,steel_type=1015,resistance_tonn_BIN=Low
30012903,steel_type=1015,swing_frequency_amount_minute_BIN=High
30012903,steel_type=1015,crystallizer_movementmm_BIN=Low
30012903,steel_type=1015,alloy_speed_meter_minute_BIN=Medium
30012903,steel_type=1015,water_consumption_BIN=High
30012903,steel_type=1015,water_temperature_deltaCelsius_BIN=High
30012903,steel_type=1015,temperature_measurement1_Celsius_BIN=Low
30012903,steel_type=1015,temperature_measurement2_Celsius_BIN=Low
30012903,steel_type=St3sp,cast_in_row_BIN=Low
30012903,steel_type=St3sp,steel_weighttonn_BIN=Medium
30012903,steel_type=St3sp,steel_temperature_grab1Celsius_BIN=High
30012903,steel_type=St3sp,resistance_tonn_BIN=Low
30012903,steel_type=St3sp,swing_frequency_amount_minute_BIN=High
30012903,steel_type=St3sp,crystallizer_movementmm_BIN=Low
30012903,steel_type=St3sp,alloy_speed_meter_minute_BIN=Medium
30012903,steel_type=St3sp,water_consumption_BIN=High
30012903,steel_type=St3sp,water_temperature_deltaCelsius_BIN=High
30012903,steel_type=St3sp,temperature_measurement1_Celsius_BIN=Low
30012903,steel_type=St3sp,temperature_measurement2_Celsius_BIN=Low
30012903,steel_type=YP,cast_in_row_BIN=Medium
30012903,steel_type=YP,steel_weighttonn_BIN=Medium
30012903,steel_type=YP,steel_temperature_grab1Celsius_BIN=High
30012903,steel_type=YP,resistance_tonn_BIN=Low
30012903,steel_type=YP,swing_frequency_amount_minute_BIN=High
30012903,steel_type=YP,crystallizer_movementmm_BIN=Low
30012903,steel_type=YP,alloy_speed_meter_minute_BIN=Medium
30012903,steel_type=YP,water_consumption_BIN=High
30012903,steel_type=YP,water_temperature_deltaCelsius_BIN=High
30012903,steel_type=YP,temperature_measurement1_Celsius_BIN=Low
30012903,steel_type=YP,temperature_measurement2_Celsius_BIN=Low
30012903,workpiece_slice_geometry=180x180,steel_weighttonn_BIN=High
30012903,workpiece_slice_geometry=180x180,steel_temperature_grab1Celsius_BIN=High
30012903,workpiece_slice_geometry=180x180,resistance_tonn_BIN=Low
30012903,workpiece_slice_geometry=180x180,swing_frequency_amount_minute_BIN=High
30012903,workpiece_slice_geometry=180x180,crystallizer_movementmm_BIN=Low
30012903,workpiece_slice_geometry=180x180,alloy_speed_meter_minute_BIN=Medium
30012903,workpiece_slice_geometry=180x180,water_consumption_BIN=High
30012903,workpiece_slice_geometry=180x180,water_temperature_deltaCelsius_BIN=High
30012903,workpiece_slice_geometry=180x180,temperature_measurement1_Celsius_BIN=Low
30012903,workpiece_slice_geometry=180x180,temperature_measurement2_Celsius_BIN=Low
30012903,alloy_type=open,steel_weighttonn_BIN=High
30012903,alloy_type=open,steel_temperature_grab1Celsius_BIN=High
30012903,alloy_type=open,resistance_tonn_BIN=Low
30012903,alloy_type=open,swing_frequency_amount_minute_BIN=High
30012903,alloy_type=open,crystallizer_movementmm_BIN=Low
30012903,alloy_type=open,alloy_speed_meter_minute_BIN=Medium
30012903,alloy_type=open,water_consumption_BIN=High
30012903,alloy_type=open,water_temperature_deltaCelsius_BIN=High
30012903,alloy_type=open,temperature_measurement1_Celsius_BIN=Low
30012903,alloy_type=open,temperature_measurement2_Celsius_BIN=Low
30012903,FCA_BIN=Healthy,cast_in_row_BIN=Medium
30012903,FCA_BIN=Healthy,steel_weighttonn_BIN=High
30012903,FCA_BIN=Healthy,steel_temperature_grab1Celsius_BIN=High
30012903,FCA_BIN=Healthy,resistance_tonn_BIN=Low
30012903,FCA_BIN=Healthy,swing_frequency_amount_minute_BIN=High
30012903,FCA_BIN=Healthy,alloy_speed_meter_minute_BIN=Medium
30012903,FCA_BIN=Healthy,water_consumption_BIN=High
30012903,FCA_BIN=Healthy,water_temperature_deltaCelsius_BIN=High
30012903,FCA_BIN=Healthy,temperature_measurement1_Celsius_BIN=Low
30012903,FCA_BIN=Healthy,temperature_measurement2_Celsius_BIN=Low
30012903,FCA_BIN=Medium,cast_in_row_BIN=Low
30012903,FCA_BIN=Medium,steel_temperature_grab1Celsius_BIN=High
30012903,FCA_BIN=Medium,resistance_tonn_BIN=Low
30012903,FCA_BIN=Medium,swing_frequency_amount_minute_BIN=High
30012903,FCA_BIN=Medium,crystallizer_movementmm_BIN=Low
30012903,FCA_BIN=Medium,alloy_speed_meter_minute_BIN=Medium
30012903,FCA_BIN=Medium,water_consumption_BIN=High
30012903,FCA_BIN=Medium,water_temperature_deltaCelsius_BIN=High
30012903,FCA_BIN=Medium,temperature_measurement1_Celsius_BIN=Low
30012903,FCA_BIN=Medium,temperature_measurement2_Celsius_BIN=Low
30012903,FCA_BIN=Low,cast_in_row_BIN=Low
30012903,FCA_BIN=Low,steel_weighttonn_BIN=High
30012903,FCA_BIN=Low,steel_temperature_grab1Celsius_BIN=High
30012903,FCA_BIN=Low,resistance_tonn_BIN=Low
30012903,FCA_BIN=Low,crystallizer_movementmm_BIN=High
30012903,FCA_BIN=Low,alloy_speed_meter_minute_BIN=Medium
30012903,FCA_BIN=Low,water_consumption_BIN=High
30012903,FCA_BIN=Low,water_temperature_deltaCelsius_BIN=High
30012903,FCA_BIN=Low,temperature_measurement1_Celsius_BIN=Low
30012903,FCA_BIN=Low,temperature_measurement2_Celsius_BIN=Low
30012903,FCA_BIN=Critical,steel_temperature_grab1Celsius_BIN=High
30012903,FCA_BIN=Critical,resistance_tonn_BIN=Low
30012903,FCA_BIN=Critical,swing_frequency_amount_minute_BIN=High
30012903,FCA_BIN=Critical,crystallizer_movementmm_BIN=Low
30012903,FCA_BIN=Critical,alloy_speed_meter_minute_BIN=Medium
30012903,FCA_BIN=Critical,water_consumption_BIN=High
30012903,FCA_BIN=Critical,water_temperature_deltaCelsius_BIN=High
