Rule,Support,Confidence
{alloy_type=open} -> {steel_type=Arm500} | {alloy_speed_meter_minute_BIN=Medium},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {alloy_speed_meter_minute_BIN=Medium},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {alloy_speed_meter_minute_BIN=Medium},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {alloy_speed_meter_minute_BIN=Medium},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {alloy_speed_meter_minute_BIN=Medium},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {alloy_speed_meter_minute_BIN=Medium},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {crystallizer_movementmm_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {resistance_tonn_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {resistance_tonn_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {resistance_tonn_BIN=Low},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {resistance_tonn_BIN=Low},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {resistance_tonn_BIN=Low},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {resistance_tonn_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {resistance_tonn_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {resistance_tonn_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {resistance_tonn_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {resistance_tonn_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {resistance_tonn_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {resistance_tonn_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {steel_temperature_grab1Celsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {steel_weighttonn_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {steel_weighttonn_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {steel_weighttonn_BIN=High},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {steel_weighttonn_BIN=High},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {steel_weighttonn_BIN=High},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {steel_weighttonn_BIN=High},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {steel_weighttonn_BIN=High},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {steel_weighttonn_BIN=High},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {steel_weighttonn_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {steel_weighttonn_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {steel_weighttonn_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {steel_weighttonn_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {temperature_measurement1_Celsius_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {temperature_measurement2_Celsius_BIN=Low},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {water_consumption_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {water_consumption_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {water_consumption_BIN=High},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {water_consumption_BIN=High},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {water_consumption_BIN=High},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {water_consumption_BIN=High},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {water_consumption_BIN=High},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {water_consumption_BIN=High},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {water_consumption_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {water_consumption_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {alloy_type=open} | {water_consumption_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {steel_type=Arm500} | {water_consumption_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {alloy_type=open} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {steel_type=Arm500} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{RUL_BIN=Critical} -> {workpiece_slice_geometry=180x180} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{alloy_type=open} -> {RUL_BIN=Critical} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{alloy_type=open} -> {steel_type=Arm500} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{alloy_type=open} -> {workpiece_slice_geometry=180x180} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {RUL_BIN=Critical} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {alloy_type=open} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{steel_type=Arm500} -> {workpiece_slice_geometry=180x180} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
{workpiece_slice_geometry=180x180} -> {RUL_BIN=Critical} | {water_temperature_deltaCelsius_BIN=High},5/5,1.0
