context_id,date,sleeve,steel_type,alloy_type,workpiece_slice_geometry,num_crystallizer,num_stream,RUL_BIN,cast_in_row_BIN,steel_weighttonn_BIN,steel_temperature_grab1Celsius_BIN,resistance_tonn_BIN,swing_frequency_amount_minute_BIN,crystallizer_movementmm_BIN,alloy_speed_meter_minute_BIN,water_consumption_BIN,water_temperature_deltaCelsius_BIN,temperature_measurement1_Celsius_BIN,temperature_measurement2_Celsius_BIN,num_crystallizer_BIN,num_stream_BIN,n_measurements
K_001,2020-01-05,30012261,St3sp,open,150x150,22,4,Medium,Low,High,High,Low,Medium,Medium,High,High,High,Low,Low,High,Medium,22
K_001,2020-01-05,30013346,St3sp,open,150x150,2,1,Low,Low,High,High,Low,Medium,Medium,High,High,High,Low,Low,Low,Low,20
K_001,2020-01-05,30013350,St3sp,open,150x150,5,2,Medium,Low,High,High,Low,Medium,Medium,High,High,High,Low,Low,Low,Low,22
K_002,2020-01-06,30012261,Arm500,open,180x180,22,4,Critical,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,High,Medium,4
K_002,2020-01-06,30013346,Arm500,open,180x180,2,1,Critical,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,Low,Low,4
K_002,2020-01-06,30013350,Arm500,open,180x180,5,2,Critical,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,Low,Low,4
K_002,2020-01-06,30013863,Arm500,open,180x180,13,3,Healthy,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,Medium,Medium,4
K_002,2020-01-06,30013864,Arm500,open,180x180,15,4,Healthy,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,Medium,Medium,4
K_002,2020-01-06,30013865,Arm500,open,180x180,10,1,Healthy,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,Medium,Low,4
K_002,2020-01-06,30013866,Arm500,open,180x180,17,5,Healthy,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,High,High,4
K_002,2020-01-06,30013868,Arm500,open,180x180,12,2,Healthy,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,Medium,Low,4
K_002,2020-01-06,30013870,Arm500,open,180x180,18,6,Healthy,Low,Medium,High,Low,Medium,High,Medium,High,High,Low,Low,High,High,4
K_003,2020-01-07,30013863,Arm500,open,180x180,13,3,Healthy,Low,High,High,Low,High,High,Medium,High,High,Low,Low,Medium,Medium,30
K_003,2020-01-07,30013864,Arm500,open,180x180,15,4,Healthy,Low,High,High,Low,High,High,Medium,High,High,Low,Low,Medium,Medium,30
K_003,2020-01-07,30013865,Arm500,open,180x180,10,1,Healthy,Low,High,High,Low,High,High,Medium,High,High,Low,Low,Medium,Low,30
K_003,2020-01-07,30013866,Arm500,open,180x180,17,5,Healthy,Low,High,High,Low,High,High,Medium,High,High,Low,Low,High,High,30
K_003,2020-01-07,30013868,Arm500,open,180x180,12,2,Healthy,Low,High,High,Low,High,High,Medium,High,High,Low,Low,Medium,Low,30
K_003,2020-01-07,30013870,Arm500,open,180x180,18,6,Healthy,Low,High,High,Low,High,High,Medium,High,High,Low,Low,High,High,30
K_004,2020-01-08,30013863,Arm500,open,180x180,13,3,Medium,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Medium,31
K_004,2020-01-08,30013864,Arm500,open,180x180,15,4,Medium,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Medium,19
K_004,2020-01-08,30013865,Arm500,open,180x180,10,1,Medium,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Low,31
K_004,2020-01-08,30013866,Arm500,open,180x180,17,5,Medium,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,High,High,31
K_004,2020-01-08,30013868,Arm500,open,180x180,12,2,Medium,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Low,31
K_004,2020-01-08,30013870,Arm500,open,180x180,18,6,Medium,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,High,High,31
K_005,2020-01-09,30013863,Arm500,open,180x180,13,3,Low,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Medium,29
K_005,2020-01-09,30013864,Arm500,open,180x180,15,4,Low,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Medium,29
K_005,2020-01-09,30013865,Arm500,open,180x180,10,1,Low,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Low,29
K_005,2020-01-09,30013866,Arm500,open,180x180,17,5,Low,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,High,High,29
K_005,2020-01-09,30013868,Arm500,open,180x180,12,2,Low,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Low,29
K_005,2020-01-09,30013870,Arm500,open,180x180,18,6,Low,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,High,High,29
K_006,2020-01-10,30013356,Arm500,open,180x180,14,6,Critical,Medium,Medium,High,Low,High,Low,Medium,High,High,Low,Low,Medium,High,32
K_006,2020-01-10,30013358,Arm500,open,180x180,11,5,Critical,Medium,Medium,High,Low,High,Low,Medium,High,High,Low,Low,Medium,High,32
K_006,2020-01-10,30013863,Arm500,open,180x180,13,3,Critical,Medium,Medium,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Medium,32
K_006,2020-01-10,30013864,Arm500,open,180x180,15,4,Critical,Medium,High,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Medium,19
K_006,2020-01-10,30013865,Arm500,open,180x180,10,1,Critical,Medium,Medium,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Low,32
K_006,2020-01-10,30013866,Arm500,open,180x180,17,5,Critical,Medium,Medium,High,Low,High,Low,Medium,High,High,Low,Low,High,High,32
K_006,2020-01-10,30013868,Arm500,open,180x180,12,2,Critical,Medium,Medium,High,Low,High,Low,Medium,High,High,Low,Low,Medium,Low,32
K_006,2020-01-10,30013870,Arm500,open,180x180,18,6,Critical,Medium,Medium,High,Low,High,Low,Medium,High,High,Low,Low,High,High,32
K_007,2020-02-05,30012909,Arm500,open,180x180,23,5,Healthy,Low,High,High,Low,Medium,Low,Medium,High,High,Low,Low,High,High,14
K_007,2020-02-05,30013347,Arm500,open,180x180,1,6,Critical,Low,High,High,Low,Medium,Low,Medium,High,High,Low,Low,Low,High,16
K_007,2020-02-05,30013349,Arm500,open,180x180,20,4,Healthy,Low,High,High,Low,Medium,Low,Medium,High,High,Low,Low,High,Medium,16
K_007,2020-02-05,30013351,Arm500,open,180x180,19,1,Healthy,Low,High,High,Low,Medium,Low,Medium,High,High,Low,Low,High,Low,17
K_007,2020-02-05,30013352,Arm500,open,180x180,3,2,Healthy,Low,High,High,Low,Medium,Low,Medium,High,High,Low,Low,Low,Low,14
K_007,2020-02-05,30013353,Arm500,open,180x180,4,3,Healthy,Low,High,High,Low,Medium,Low,Medium,High,High,Low,Low,Low,Medium,17
K_008,2020-02-07,30012903,Arm500,open,180x180,22,1,Healthy,Low,High,High,Low,High,Low,Medium,High,High,Low,Low,High,Low,20
