date,context_id,concept_id,intent,extent,intent_size,extent_size,n_objects,n_attributes
2020-01-05,K_001,0,alloy_speed_meter_minute_BIN=High | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=St3sp | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=150x150,30012261 | 30013346 | 30013350,14,3,3,20
2020-01-05,K_001,1,alloy_speed_meter_minute_BIN=High | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Medium | num_crystallizer_BIN=Low | num_stream_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=St3sp | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=150x150,30013346 | 30013350,16,2,3,20
2020-01-05,K_001,2,RUL_BIN=Medium | alloy_speed_meter_minute_BIN=High | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=St3sp | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=150x150,30012261 | 30013350,15,2,3,20
2020-01-05,K_001,3,RUL_BIN=Medium | alloy_speed_meter_minute_BIN=High | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Medium | num_crystallizer_BIN=Low | num_stream_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=St3sp | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=150x150,30013350,17,1,3,20
2020-01-05,K_001,4,RUL_BIN=Medium | alloy_speed_meter_minute_BIN=High | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Medium | num_crystallizer_BIN=High | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=St3sp | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=150x150,30012261,17,1,3,20
2020-01-05,K_001,5,RUL_BIN=Low | alloy_speed_meter_minute_BIN=High | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Medium | num_crystallizer_BIN=Low | num_stream_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=St3sp | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=150x150,30013346,17,1,3,20
2020-01-05,K_001,6,RUL_BIN=Low | RUL_BIN=Medium | alloy_speed_meter_minute_BIN=High | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Medium | num_crystallizer_BIN=High | num_crystallizer_BIN=Low | num_stream_BIN=Low | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=St3sp | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=150x150,,20,0,3,20
2020-01-06,K_002,0,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=High | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=Medium | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30012261 | 30013346 | 30013350 | 30013863 | 30013864 | 30013865 | 30013866 | 30013868 | 30013870,14,9,9,22
2020-01-06,K_002,1,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=High | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=Medium | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30012261 | 30013863 | 30013864,15,3,9,22
2020-01-06,K_002,2,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=High | num_stream_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=Medium | swing_frequency_amount_minute_BIN=Medium | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,30013346 | 30013350 | 30013865 | 30013868,15,4,9,22
