record_type,intent_str,intent_size,lifespan,lifespan_pct,classification,birth_day,last_alive_day,still_alive_at_end,alive_days,avg_extent_size,date,n_births,n_deaths,n_alive,attribute,level,prevalence_pct,n_concepts,context_id,n_objects,n_attributes,density,avg_intent_size,max_intent_size,max_extent_size,Metric,Value
life_track,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,14.0,20.0,23.26,Short-lived,2020-02-07,2020-08-24,False,2020-02-07 | 2020-05-14 | 2020-05-20 | 2020-05-24 | 2020-05-25 | 2020-06-07 | 2020-07-16 | 2020-07-18 | 2020-07-20 | 2020-07-21 | 2020-07-24 | 2020-07-26 | 2020-07-28 | 2020-07-30 | 2020-08-08 | 2020-08-13 | 2020-08-19 | 2020-08-20 | 2020-08-23 | 2020-08-24,6.25,,,,,,,,,,,,,,,,,
life_track,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,15.0,15.0,17.44,Short-lived,2020-05-14,2020-08-13,False,2020-05-14 | 2020-05-20 | 2020-05-24 | 2020-05-25 | 2020-05-29 | 2020-06-07 | 2020-07-16 | 2020-07-18 | 2020-07-20 | 2020-07-24 | 2020-07-26 | 2020-07-28 | 2020-07-30 | 2020-08-08 | 2020-08-13,4.27,,,,,,,,,,,,,,,,,
life_track,RUL_BIN=Medium | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,17.0,10.0,11.63,Short-lived,2020-01-08,2020-08-13,False,2020-01-08 | 2020-05-14 | 2020-05-20 | 2020-05-24 | 2020-05-25 | 2020-06-07 | 2020-07-18 | 2020-07-20 | 2020-08-08 | 2020-08-13,1.3,,,,,,,,,,,,,,,,,
life_track,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_crystallizer_BIN=Medium | num_stream_BIN=Medium | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,17.0,10.0,11.63,Short-lived,2020-01-09,2020-08-22,False,2020-01-09 | 2020-05-20 | 2020-05-24 | 2020-05-25 | 2020-05-29 | 2020-07-20 | 2020-07-21 | 2020-07-24 | 2020-07-26 | 2020-08-22,1.3,,,,,,,,,,,,,,,,,
life_track,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Medium | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,14.0,9.0,10.47,Short-lived,2020-02-09,2020-08-22,False,2020-02-09 | 2020-05-08 | 2020-05-09 | 2020-07-22 | 2020-08-09 | 2020-08-14 | 2020-08-15 | 2020-08-21 | 2020-08-22,6.11,,,,,,,,,,,,,,,,,
life_track,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_stream_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,15.0,9.0,10.47,Short-lived,2020-02-07,2020-08-08,False,2020-02-07 | 2020-05-20 | 2020-05-24 | 2020-05-25 | 2020-07-20 | 2020-07-24 | 2020-07-26 | 2020-07-28 | 2020-08-08,3.0,,,,,,,,,,,,,,,,,
life_track,alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | num_stream_BIN=High | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,15.0,9.0,10.47,Short-lived,2020-02-07,2020-08-23,False,2020-02-07 | 2020-05-14 | 2020-05-24 | 2020-05-25 | 2020-07-20 | 2020-07-24 | 2020-07-26 | 2020-08-08 | 2020-08-23,2.44,,,,,,,,,,,,,,,,,
life_track,RUL_BIN=Medium | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,15.0,8.0,9.3,Ephemeral,2020-01-08,2020-08-13,False,2020-01-08 | 2020-02-07 | 2020-05-14 | 2020-06-07 | 2020-07-16 | 2020-07-18 | 2020-07-20 | 2020-08-13,3.38,,,,,,,,,,,,,,,,,
life_track,RUL_BIN=Low | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,15.0,8.0,9.3,Ephemeral,2020-01-09,2020-08-08,False,2020-01-09 | 2020-05-20 | 2020-05-24 | 2020-05-25 | 2020-07-21 | 2020-07-24 | 2020-07-26 | 2020-08-08,4.5,,,,,,,,,,,,,,,,,
life_track,RUL_BIN=Critical | alloy_speed_meter_minute_BIN=Medium | alloy_type=open | cast_in_row_BIN=Low | crystallizer_movementmm_BIN=Low | resistance_tonn_BIN=Low | steel_temperature_grab1Celsius_BIN=High | steel_type=Arm500 | steel_weighttonn_BIN=High | swing_frequency_amount_minute_BIN=High | temperature_measurement1_Celsius_BIN=Low | temperature_measurement2_Celsius_BIN=Low | water_consumption_BIN=High | water_temperature_deltaCelsius_BIN=High | workpiece_slice_geometry=180x180,15.0,8.0,9.3,Ephemeral,2020-03-09,2020-08-25,False,2020-03-09 | 2020-05-25 | 2020-07-24 | 2020-07-26 | 2020-07-28 | 2020-07-30 | 2020-08-08 | 2020-08-25,4.0,,,,,,,,,,,,,,,,,
