RUL_FCA_BIN=Critical,RUL_FCA_BIN=Healthy,RUL_FCA_BIN=Low,RUL_FCA_BIN=Medium,cast_in_row_BIN=High,cast_in_row_BIN=Low,cast_in_row_BIN=Medium,steel_weight_tonn_BIN=High,steel_weight_tonn_BIN=Medium,swing_frequency_amount_minute_BIN=High,swing_frequency_amount_minute_BIN=Medium,crystallizer_movementmm_BIN=High,crystallizer_movementmm_BIN=Low,alloy_speed_meter_minute_BIN=Low,alloy_speed_meter_minute_BIN=Medium,water_temperature_deltaCelsius_BIN=High,water_temperature_deltaCelsius_BIN=Medium
0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0
0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0
0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0
0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0
0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0
0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0
0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0
0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0
0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0
0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0
1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0
1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0
