Round,Player1_Action,Player1_Payoff,Player1_ActualPoints,Player2_Action,Player2_Payoff,Player2_ActualPoints
1,C,0,0,D,5,5
2,D,5,5,C,0,5
3,C,0,5,D,5,10
4,D,1,6,D,1,11
5,D,1,7,D,1,12
6,D,5,12,C,0,12
7,C,3,15,C,3,15
8,C,0,15,D,5,20
9,D,5,20,C,0,20
10,C,3,23,C,3,23
11,C,3,26,C,3,26
12,C,0,26,D,5,31
13,D,5,31,C,0,31
14,C,3,34,C,3,34
15,C,3,37,C,3,37
16,C,0,37,D,5,42
17,D,1,38,D,1,43
18,D,1,39,D,1,44
19,D,5,44,C,0,44
20,C,0,44,D,5,49
21,D,1,45,D,1,50
22,D,5,50,C,0,50
23,C,3,53,C,3,53
24,C,3,56,C,3,56
25,C,3,59,C,3,59
26,C,3,62,C,3,62
27,C,0,62,D,5,67
28,D,1,63,D,1,68
29,D,5,68,C,0,68
30,C,3,71,C,3,71
31,C,3,74,C,3,74
32,C,3,77,C,3,77
33,C,0,77,D,5,82
34,D,1,78,D,1,83
35,D,1,79,D,1,84
36,D,5,84,C,0,84
37,C,3,87,C,3,87
38,C,3,90,C,3,90
39,C,3,93,C,3,93
40,C,0,93,D,5,98
41,D,1,94,D,1,99
42,D,1,95,D,1,100
43,D,1,96,D,1,101
44,D,1,97,D,1,102
45,D,5,102,C,0,102
46,C,0,102,D,5,107
47,D,5,107,C,0,107
48,C,3,110,C,3,110
49,C,3,113,C,3,113
50,C,3,116,C,3,116
51,C,0,116,D,5,121
52,D,1,117,D,1,122
53,D,5,122,C,0,122
54,C,0,122,D,5,127
55,D,1,123,D,1,128
56,D,5,128,C,0,128
57,C,0,128,D,5,133
58,D,1,129,D,1,134
59,D,1,130,D,1,135
60,D,1,131,D,1,136
61,D,5,136,C,0,136
62,C,0,136,D,5,141
63,D,1,137,D,1,142
64,D,5,142,C,0,142
65,C,3,145,C,3,145
66,C,3,148,C,3,148
67,C,0,148,D,5,153
68,D,1,149,D,1,154
69,D,1,150,D,1,155
70,D,5,155,C,0,155
71,C,3,158,C,3,158
72,C,0,158,D,5,163
73,D,5,163,C,0,163
74,C,3,166,C,3,166
75,C,3,169,C,3,169
76,C,0,169,D,5,174
77,D,5,174,C,0,174
78,C,0,174,D,5,179
79,D,1,175,D,1,180
80,D,5,180,C,0,180
81,C,0,180,D,5,185
82,D,5,185,C,0,185
83,C,3,188,C,3,188
84,C,3,191,C,3,191
85,C,0,191,D,5,196
86,D,1,192,D,1,197
87,D,1,193,D,1,198
88,D,5,198,C,0,198
89,C,0,198,D,5,203
90,D,1,199,D,1,204
91,D,1,200,D,1,205
92,D,5,205,C,0,205
93,C,3,208,C,3,208
94,C,0,208,D,5,213
95,D,5,213,C,0,213
96,C,3,216,C,3,216
97,C,0,216,D,5,221
98,D,1,217,D,1,222
99,D,5,222,C,0,222
100,C,0,222,D,5,227
101,D,5,227,C,0,227
102,C,0,227,D,5,232
103,D,1,228,D,1,233
104,D,5,233,C,0,233
105,C,3,236,C,3,236
106,C,0,236,D,5,241
107,D,1,237,D,1,242
108,D,5,242,C,0,242
109,C,0,242,D,5,247
110,D,1,243,D,1,248
111,D,5,248,C,0,248
112,C,0,248,D,5,253
113,D,5,253,C,0,253
114,C,0,253,D,5,258
115,D,1,254,D,1,259
116,D,5,259,C,0,259
117,C,3,262,C,3,262
118,C,0,262,D,5,267
119,D,5,267,C,0,267
120,C,0,267,D,5,272
121,D,5,272,C,0,272
122,C,0,272,D,5,277
123,D,5,277,C,0,277
124,C,3,280,C,3,280
125,C,0,280,D,5,285
126,D,5,285,C,0,285
127,C,0,285,D,5,290
128,D,1,286,D,1,291
129,D,5,291,C,0,291
130,C,0,291,D,5,296
131,D,1,292,D,1,297
132,D,1,293,D,1,298
133,D,5,298,C,0,298
134,C,3,301,C,3,301
135,C,3,304,C,3,304
136,C,0,304,D,5,309
137,D,5,309,C,0,309
138,C,3,312,C,3,312
139,C,0,312,D,5,317
140,D,5,317,C,0,317
141,C,3,320,C,3,320
142,C,3,323,C,3,323
143,C,0,323,D,5,328
144,D,5,328,C,0,328
145,C,0,328,D,5,333
146,D,1,329,D,1,334
