Round,Winner_ID,Winning_Bid,Second_Price,P1_Strategy,P1_TrueVal,P1_Bid,P1_Profit,P1_TotalProfit,P2_Strategy,P2_TrueVal,P2_Bid,P2_Profit,P2_TotalProfit,P3_Strategy,P3_TrueVal,P3_Bid,P3_Profit,P3_TotalProfit,P4_Strategy,P4_TrueVal,P4_Bid,P4_Profit,P4_TotalProfit,P5_Strategy,P5_TrueVal,P5_Bid,P5_Profit,P5_TotalProfit
1,2,1011.8856316367877,574.5954074143715,truthful,135,135.0,0.0,0.0,random_reasonable,950,1011.8856316367877,375.4045925856285,375.4045925856285,underbid_bayesian,275,274.1735064179723,0.0,0.0,overbid,500,564.1972447884045,0.0,0.0,noisy_bounded_rationality,675,574.5954074143715,0.0,0.0
2,1,825.0,712.9231664103189,truthful,825,825.0,112.07683358968109,112.07683358968109,random_reasonable,785,712.9231664103189,0.0,375.4045925856285,underbid_bayesian,100,93.45491607507913,0.0,0.0,overbid,295,327.0435796664141,0.0,0.0,noisy_bounded_rationality,455,540.4027149728518,0.0,0.0
3,4,850.9170357359833,716.9998190588183,truthful,505,505.0,0.0,112.07683358968109,random_reasonable,655,716.9998190588183,0.0,375.4045925856285,underbid_bayesian,245,244.09226520440515,0.0,0.0,overbid,805,850.9170357359833,88.00018094118172,88.00018094118172,noisy_bounded_rationality,255,293.55868151378394,0.0,0.0
4,2,723.0478755722171,716.5300670002615,truthful,445,445.0,0.0,112.07683358968109,random_reasonable,835,723.0478755722171,118.46993299973849,493.874525585367,underbid_bayesian,655,568.1557360705879,0.0,0.0,overbid,645,716.5300670002615,0.0,88.00018094118172,noisy_bounded_rationality,115,103.36405582196872,0.0,0.0
5,2,992.9567148529205,654.3803602274002,truthful,455,455.0,0.0,112.07683358968109,random_reasonable,995,992.9567148529205,340.61963977259984,834.4941653579668,underbid_bayesian,655,654.3803602274002,0.0,0.0,overbid,105,117.77189643278237,0.0,88.00018094118172,noisy_bounded_rationality,255,240.63240004190655,0.0,0.0
6,1,1000.0,788.5050592812278,truthful,1000,1000.0,211.49494071877223,323.5717743084533,random_reasonable,800,788.5050592812278,0.0,834.4941653579668,underbid_bayesian,500,426.41773745467736,0.0,0.0,overbid,400,458.586063516703,0.0,88.00018094118172,noisy_bounded_rationality,200,185.89716954681825,0.0,0.0
7,5,990.8921991482011,773.7615861046581,truthful,200,200.0,0.0,323.5717743084533,random_reasonable,400,417.92531556758297,0.0,834.4941653579668,underbid_bayesian,600,510.52465579199253,0.0,0.0,overbid,700,773.7615861046581,0.0,88.00018094118172,noisy_bounded_rationality,950,990.8921991482011,176.23841389534186,176.23841389534186
8,3,893.16139065855,710.7209619869723,truthful,275,275.0,0.0,323.5717743084533,random_reasonable,455,410.5509821952347,0.0,834.4941653579668,underbid_bayesian,990,893.16139065855,279.27903801302773,279.27903801302773,overbid,655,710.7209619869723,0.0,88.00018094118172,noisy_bounded_rationality,245,224.7237629031538,0.0,176.23841389534186
9,4,1076.040258284283,713.195832878743,truthful,105,105.0,0.0,323.5717743084533,random_reasonable,255,265.59996534473044,0.0,834.4941653579668,underbid_bayesian,455,424.1626099234292,0.0,279.27903801302773,overbid,1000,1076.040258284283,286.804167121257,374.80434806243875,noisy_bounded_rationality,655,713.195832878743,0.0,176.23841389534186
10,3,876.6779877975282,800.0,truthful,800,800.0,0.0,323.5717743084533,random_reasonable,650,610.0375774440062,0.0,834.4941653579668,underbid_bayesian,1000,876.6779877975282,200.0,479.27903801302773,overbid,250,266.8536444149308,0.0,374.80434806243875,noisy_bounded_rationality,450,426.10768055044525,0.0,176.23841389534186
