Round,Winner_ID,Winning_Bid,Second_Price,P1_Strategy,P1_TrueVal,P1_Bid,P1_Profit,P1_TotalProfit,P2_Strategy,P2_TrueVal,P2_Bid,P2_Profit,P2_TotalProfit,P3_Strategy,P3_TrueVal,P3_Bid,P3_Profit,P3_TotalProfit,P4_Strategy,P4_TrueVal,P4_Bid,P4_Profit,P4_TotalProfit,P5_Strategy,P5_TrueVal,P5_Bid,P5_Profit,P5_TotalProfit,P6_Strategy,P6_TrueVal,P6_Bid,P6_Profit,P6_TotalProfit,P7_Strategy,P7_TrueVal,P7_Bid,P7_Profit,P7_TotalProfit,P8_Strategy,P8_TrueVal,P8_Bid,P8_Profit,P8_TotalProfit,P9_Strategy,P9_TrueVal,P9_Bid,P9_Profit,P9_TotalProfit,P10_Strategy,P10_TrueVal,P10_Bid,P10_Profit,P10_TotalProfit,P11_Strategy,P11_TrueVal,P11_Bid,P11_Profit,P11_TotalProfit,P12_Strategy,P12_TrueVal,P12_Bid,P12_Profit,P12_TotalProfit,P13_Strategy,P13_TrueVal,P13_Bid,P13_Profit,P13_TotalProfit,P14_Strategy,P14_TrueVal,P14_Bid,P14_Profit,P14_TotalProfit,P15_Strategy,P15_TrueVal,P15_Bid,P15_Profit,P15_TotalProfit,P16_Strategy,P16_TrueVal,P16_Bid,P16_Profit,P16_TotalProfit,P17_Strategy,P17_TrueVal,P17_Bid,P17_Profit,P17_TotalProfit,P18_Strategy,P18_TrueVal,P18_Bid,P18_Profit,P18_TotalProfit,P19_Strategy,P19_TrueVal,P19_Bid,P19_Profit,P19_TotalProfit,P20_Strategy,P20_TrueVal,P20_Bid,P20_Profit,P20_TotalProfit
1,4,200.0,179.57467573241215,truthful,107.57810619989382,107.57810619989382,0.0,0.0,random,89.51242754555096,39.51904382152438,0.0,0.0,always_zero,138.09972044890958,0.0,0.0,0.0,always_max,81.70392813037869,200.0,-97.87074760203346,-97.87074760203346,underbid_10_percent,99.68289976594019,89.71460978934617,0.0,0.0,overbid_10_percent,100.19515816050826,110.2146739765591,0.0,0.0,underbid_fixed_10,94.06420551047472,84.06420551047472,0.0,0.0,overbid_fixed_10,132.04904348085591,142.04904348085591,0.0,0.0,imitate_last_winner,106.43732058415176,106.43732058415176,0.0,0.0,average_past_winners,105.99031766854722,105.99031766854722,0.0,0.0,adaptive_increase,99.00002338858563,99.00002338858563,0.0,0.0,adaptive_decrease,108.24208005743643,108.24208005743643,0.0,0.0,spiteful,119.71645048827476,179.57467573241215,0.0,0.0,timid,73.077504424377,36.5387522121885,0.0,0.0,epsilon_greedy,129.45558092403263,129.45558092403263,0.0,0.0,trend_follower,69.76387687449262,69.76387687449262,0.0,0.0,memory_3_avg,77.48332715553153,77.48332715553153,0.0,0.0,competitor_aware,70.35067232665706,70.35067232665706,0.0,0.0,win_stay_lose_shift,136.15491899556378,136.15491899556378,0.0,0.0,strategy_switcher,106.64585665361204,106.64585665361204,0.0,0.0
2,4,200.0,200.0,truthful,61.476196638725156,61.476196638725156,0.0,0.0,random,68.34154410496187,162.47432806023028,0.0,0.0,always_zero,136.09344229814604,0.0,0.0,0.0,always_max,113.79527729561508,200.0,-86.20472270438492,-184.07547030641837,underbid_10_percent,62.524262660499254,56.27183639444933,0.0,0.0,overbid_10_percent,73.10951141592825,80.42046255752109,0.0,0.0,underbid_fixed_10,148.7544105675267,138.7544105675267,0.0,0.0,overbid_fixed_10,55.04221733957391,65.04221733957391,0.0,0.0,imitate_last_winner,128.30733017088454,200.0,0.0,0.0,average_past_winners,86.30724728331501,200.0,0.0,0.0,adaptive_increase,101.54149223128448,121.84979067754136,0.0,0.0,adaptive_decrease,137.57734004800784,137.57734004800784,0.0,0.0,spiteful,99.29843468989121,148.9476520348368,0.0,0.0,timid,72.88362660274615,36.441813301373074,0.0,0.0,epsilon_greedy,130.20705345486084,130.20705345486084,0.0,0.0,trend_follower,90.8226632526904,90.8226632526904,0.0,0.0,memory_3_avg,70.52835924992165,70.52835924992165,0.0,0.0,competitor_aware,124.11886691602969,129.11886691602967,0.0,0.0,win_stay_lose_shift,83.05611400657983,4.288276590979234,0.0,0.0,strategy_switcher,110.962863909021,110.962863909021,0.0,0.0
3,13,224.01620686553133,200.0,truthful,135.2950406784845,135.2950406784845,0.0,0.0,random,59.114046128456295,153.18176741089422,0.0,0.0,always_zero,106.45583545161577,0.0,0.0,0.0,always_max,56.605512738912424,200.0,0.0,-184.07547030641837,underbid_10_percent,126.21678523216954,113.59510670895258,0.0,0.0,overbid_10_percent,50.11699257472687,55.128691832199564,0.0,0.0,underbid_fixed_10,138.82852600976514,128.82852600976514,0.0,0.0,overbid_fixed_10,149.53583606847684,159.53583606847684,0.0,0.0,imitate_last_winner,86.60395318256789,200.0,0.0,0.0,average_past_winners,108.28720428401583,200.0,0.0,0.0,adaptive_increase,96.5617428277511,115.87409139330131,0.0,0.0,adaptive_decrease,83.4033907746923,83.4033907746923,0.0,0.0,spiteful,149.34413791035422,224.01620686553133,-50.65586208964578,-50.65586208964578,timid,128.4411609108052,64.2205804554026,0.0,0.0,epsilon_greedy,54.16304461713858,54.16304461713858,0.0,0.0,trend_follower,133.3181051471268,133.3181051471268,0.0,0.0,memory_3_avg,108.37996253326644,108.37996253326644,0.0,0.0,competitor_aware,146.61733779560274,151.61733779560274,0.0,0.0,win_stay_lose_shift,146.22773723803533,29.116406491889848,0.0,0.0,strategy_switcher,87.89158897478265,87.89158897478265,0.0,0.0
4,9,224.01620686553133,208.00540228851045,truthful,80.46632152512842,80.46632152512842,0.0,0.0,random,76.46717928225621,31.088592087127243,0.0,0.0,always_zero,97.68357405008248,0.0,0.0,0.0,always_max,80.00406475850542,200.0,0.0,-184.07547030641837,underbid_10_percent,145.74329263203836,131.16896336883454,0.0,0.0,overbid_10_percent,95.23222776177442,104.75545053795187,0.0,0.0,underbid_fixed_10,123.35346181618968,113.35346181618968,0.0,0.0,overbid_fixed_10,137.835943477658,147.835943477658,0.0,0.0,imitate_last_winner,60.21246738823578,224.01620686553133,-147.79293490027467,-147.79293490027467,average_past_winners,115.60787262021223,208.00540228851045,0.0,0.0,adaptive_increase,117.1753002061078,140.61036024732937,0.0,0.0,adaptive_decrease,88.888548459612,88.888548459612,0.0,0.0,spiteful,53.736952905013716,80.60542935752058,0.0,-50.65586208964578,timid,69.09991050359302,34.54995525179651,0.0,0.0,epsilon_greedy,115.03682267265773,115.03682267265773,0.0,0.0,trend_follower,120.6616933705898,144.67790023612113,0.0,0.0,memory_3_avg,66.46621894578068,85.46388297957321,0.0,0.0,competitor_aware,70.81189446582795,75.81189446582795,0.0,0.0,win_stay_lose_shift,140.25408730387306,2.725060446095262,0.0,0.0,strategy_switcher,143.23876084997437,143.23876084997437,0.0,0.0
5,9,224.01620686553133,212.00810343276567,truthful,116.07636271915673,116.07636271915673,0.0,0.0,random,140.6317904252826,130.0260870906295,0.0,0.0,always_zero,55.59763791218933,0.0,0.0,0.0,always_max,60.82760471900775,200.0,0.0,-184.07547030641837,underbid_10_percent,99.38620106300729,89.44758095670656,0.0,0.0,overbid_10_percent,149.67821147332677,164.64603262065947,0.0,0.0,underbid_fixed_10,133.00829278474617,123.00829278474617,0.0,0.0,overbid_fixed_10,81.5413778588291,91.5413778588291,0.0,0.0,imitate_last_winner,71.25947222906122,224.01620686553133,-140.74863120370446,-288.5415661039791,average_past_winners,76.85565921533222,212.00810343276567,0.0,0.0,adaptive_increase,124.03367856826353,148.84041428191622,0.0,0.0,adaptive_decrease,97.213479038848,97.213479038848,0.0,0.0,spiteful,102.84114729996597,154.26172094994894,0.0,-50.65586208964578,timid,62.70821143816006,31.35410571908003,0.0,0.0,epsilon_greedy,130.71542210031214,130.71542210031214,0.0,0.0,trend_follower,113.18002640898877,113.18002640898877,0.0,0.0,memory_3_avg,85.63661585890941,88.12406825425376,0.0,0.0,competitor_aware,109.24083528770437,114.24083528770437,0.0,0.0,win_stay_lose_shift,114.74661837303324,25.719984840681764,0.0,0.0,strategy_switcher,54.56135997323254,54.56135997323254,0.0,0.0
6,9,224.01620686553133,214.4097241193188,truthful,84.40216882270639,84.40216882270639,0.0,0.0,random,62.52420892012137,167.14682887142888,0.0,0.0,always_zero,137.60775625214137,0.0,0.0,0.0,always_max,66.85332759173383,200.0,0.0,-184.07547030641837,underbid_10_percent,115.05139170802299,103.5462525372207,0.0,0.0,overbid_10_percent,111.66938319603321,122.83632151563654,0.0,0.0,underbid_fixed_10,66.02412726247091,56.02412726247091,0.0,0.0,overbid_fixed_10,130.4397300904971,140.4397300904971,0.0,0.0,imitate_last_winner,146.10245980004515,224.01620686553133,-68.30726431927366,-356.84883042325276,average_past_winners,60.536944708205674,214.4097241193188,0.0,0.0,adaptive_increase,59.07807069279563,70.89368483135475,0.0,0.0,adaptive_decrease,98.12714966083095,98.12714966083095,0.0,0.0,spiteful,59.665919939579894,89.49887990936983,0.0,-50.65586208964578,timid,142.29254550850078,71.14627275425039,0.0,0.0,epsilon_greedy,117.95694002490738,117.95694002490738,0.0,0.0,trend_follower,89.11184015855613,89.11184015855613,0.0,0.0,memory_3_avg,119.63493978398749,93.98930458903114,0.0,0.0,competitor_aware,80.91941401355909,85.91941401355909,0.0,0.0,win_stay_lose_shift,128.9381590985432,89.94083538658543,0.0,0.0,strategy_switcher,137.57576017380538,137.57576017380538,0.0,0.0
7,9,224.01620686553133,218.79383021963912,truthful,132.41341234483863,132.41341234483863,0.0,0.0,random,68.55934583834869,6.562649353150873,0.0,0.0,always_zero,145.931670213345,0.0,0.0,0.0,always_max,121.89272113743705,200.0,0.0,-184.07547030641837,underbid_10_percent,91.9887544250413,82.78987898253716,0.0,0.0,overbid_10_percent,135.9023834392573,149.49262178318304,0.0,0.0,underbid_fixed_10,91.87909783364589,81.87909783364589,0.0,0.0,overbid_fixed_10,74.35023999440983,84.35023999440983,0.0,0.0,imitate_last_winner,133.6444675826413,224.01620686553133,-85.14936263699781,-441.99819306025057,average_past_winners,69.21737581720853,216.01080457702088,0.0,0.0,adaptive_increase,101.1301654654521,121.3561985585425,0.0,0.0,adaptive_decrease,60.498278626491775,60.498278626491775,0.0,0.0,spiteful,145.8625534797594,218.79383021963912,0.0,-50.65586208964578,timid,128.89080395474477,64.44540197737238,0.0,0.0,epsilon_greedy,116.6534115359917,116.6534115359917,0.0,0.0,trend_follower,54.353744070557084,54.353744070557084,0.0,0.0,memory_3_avg,136.47068015871196,89.19241860761936,0.0,0.0,competitor_aware,108.07947971717113,113.07947971717113,0.0,0.0,win_stay_lose_shift,93.47666438085936,62.32546477483951,0.0,0.0,strategy_switcher,135.1418752144627,135.1418752144627,0.0,0.0
8,9,224.01620686553133,217.15443347537953,truthful,140.22633687276243,140.22633687276243,0.0,0.0,random,97.24089236918053,37.83587141728242,0.0,0.0,always_zero,99.07249079708299,0.0,0.0,0.0,always_max,88.28483350490393,200.0,0.0,-184.07547030641837,underbid_10_percent,119.28995708820776,107.36096137938698,0.0,0.0,overbid_10_percent,122.66152030886563,134.9276723397522,0.0,0.0,underbid_fixed_10,136.494002305427,126.49400230542699,0.0,0.0,overbid_fixed_10,85.36505493223525,95.36505493223525,0.0,0.0,imitate_last_winner,77.66471255517257,224.01620686553133,-139.48972092020696,-581.4879139804575,average_past_winners,113.44573082103938,217.15443347537953,0.0,0.0,adaptive_increase,53.635845110379954,64.36301413245594,0.0,0.0,adaptive_decrease,113.55924867689777,113.55924867689777,0.0,0.0,spiteful,95.57738066771863,143.36607100157795,0.0,-50.65586208964578,timid,56.52292564256558,28.26146282128279,0.0,0.0,epsilon_greedy,146.3034039687228,146.3034039687228,0.0,0.0,trend_follower,86.2997966825284,86.2997966825284,0.0,0.0,memory_3_avg,113.70925191217648,90.43526381696807,0.0,0.0,competitor_aware,74.73252868088886,79.73252868088886,0.0,0.0,win_stay_lose_shift,117.0603872625024,83.99590677587527,0.0,0.0,strategy_switcher,100.44821044311385,100.44821044311385,0.0,0.0
9,9,224.01620686553133,218.0121551491485,truthful,140.95317089678537,140.95317089678537,0.0,0.0,random,141.59541477381555,143.60197282087748,0.0,0.0,always_zero,118.65638932314968,0.0,0.0,0.0,always_max,75.73505762941633,200.0,0.0,-184.07547030641837,underbid_10_percent,63.82652654932058,57.443873894388524,0.0,0.0,overbid_10_percent,96.93312817941337,106.62644099735472,0.0,0.0,underbid_fixed_10,126.98468308273189,116.98468308273189,0.0,0.0,overbid_fixed_10,67.20891232152752,77.20891232152752,0.0,0.0,imitate_last_winner,133.13915805411767,224.01620686553133,-84.87299709503083,-666.3609110754883,average_past_winners,52.30190404094903,218.0121551491485,0.0,0.0,adaptive_increase,149.01847922146845,178.82217506576214,0.0,0.0,adaptive_decrease,104.3735858486782,104.3735858486782,0.0,0.0,spiteful,60.187078159073415,90.28061723861012,0.0,-50.65586208964578,timid,149.27044032825023,74.63522016412512,0.0,0.0,epsilon_greedy,117.5533977829526,117.5533977829526,0.0,0.0,trend_follower,98.30783824839715,98.30783824839715,0.0,0.0,memory_3_avg,86.5237237292256,91.20566233787285,0.0,0.0,competitor_aware,108.29732078331098,113.29732078331098,0.0,0.0,win_stay_lose_shift,85.44921208508617,15.163527083261208,0.0,0.0,strategy_switcher,132.7949215621864,132.7949215621864,0.0,0.0
10,9,224.01620686553133,218.67927200652437,truthful,123.79877728863501,123.79877728863501,0.0,0.0,random,110.86432687779035,115.10434126143892,0.0,0.0,always_zero,132.98608851076273,0.0,0.0,0.0,always_max,140.92958075736448,200.0,0.0,-184.07547030641837,underbid_10_percent,90.88672483257693,81.79805234931924,0.0,0.0,overbid_10_percent,93.74245317443528,103.11669849187882,0.0,0.0,underbid_fixed_10,140.41887694859724,130.41887694859724,0.0,0.0,overbid_fixed_10,90.49170298939207,100.49170298939207,0.0,0.0,imitate_last_winner,103.72532874540497,224.01620686553133,-114.9539432611194,-781.3148543366077,average_past_winners,56.470445243126676,218.67927200652437,0.0,0.0,adaptive_increase,140.31896802896244,168.38276163475493,0.0,0.0,adaptive_decrease,129.29208162403899,129.29208162403899,0.0,0.0,spiteful,89.07954220279974,133.6193133041996,0.0,-50.65586208964578,timid,140.29868039718775,70.14934019859388,0.0,0.0,epsilon_greedy,125.46985773609497,125.46985773609497,0.0,0.0,trend_follower,145.34197293552418,145.34197293552418,0.0,0.0,memory_3_avg,95.20415314032729,90.27778158748676,0.0,0.0,competitor_aware,107.12853956932378,112.12853956932378,0.0,0.0,win_stay_lose_shift,50.49640538134391,96.8574600819343,0.0,0.0,strategy_switcher,50.053550688842975,50.053550688842975,0.0,0.0
11,9,224.01620686553133,219.21296549242507,truthful,83.38864364099192,83.38864364099192,0.0,0.0,random,81.52048516483012,20.282367786526436,0.0,0.0,always_zero,80.17158818211271,0.0,0.0,0.0,always_max,78.1441174551778,200.0,0.0,-184.07547030641837,underbid_10_percent,92.59201644585532,83.33281480126979,0.0,0.0,overbid_10_percent,50.72092405321408,55.79301645853549,0.0,0.0,underbid_fixed_10,109.98087256334946,99.98087256334946,0.0,0.0,overbid_fixed_10,83.72434549309278,93.72434549309278,0.0,0.0,imitate_last_winner,125.78920296407378,224.01620686553133,-93.42376252835129,-874.738616864959,average_past_winners,87.58668941377755,219.21296549242507,0.0,0.0,adaptive_increase,104.56697997468481,125.48037596962178,0.0,0.0,adaptive_decrease,109.67146780364192,109.67146780364192,0.0,0.0,spiteful,50.72126533412048,76.08189800118072,0.0,-50.65586208964578,timid,88.18384691812085,44.091923459060425,0.0,0.0,epsilon_greedy,148.7883199768693,148.7883199768693,0.0,0.0,trend_follower,74.0871648578855,74.0871648578855,0.0,0.0,memory_3_avg,79.05249321476535,90.63956924744257,0.0,0.0,competitor_aware,132.56149646639284,137.56149646639284,0.0,0.0,win_stay_lose_shift,147.71326363998008,126.84762237767333,0.0,0.0,strategy_switcher,63.492577083201766,76.19109249984211,0.0,0.0
12,9,224.01620686553133,219.6496237990711,truthful,54.74972581273815,54.74972581273815,0.0,0.0,random,127.12811976429624,159.47270778704075,0.0,0.0,always_zero,137.799774627244,0.0,0.0,0.0,always_max,90.57852681048723,200.0,0.0,-184.07547030641837,underbid_10_percent,115.34374622141925,103.80937159927733,0.0,0.0,overbid_10_percent,115.03312305674392,126.53643536241832,0.0,0.0,underbid_fixed_10,115.41522809609407,105.41522809609407,0.0,0.0,overbid_fixed_10,112.83414976336721,122.83414976336721,0.0,0.0,imitate_last_winner,130.54146048299015,224.01620686553133,-89.10816331608095,-963.84678018104,average_past_winners,82.30029614062843,219.6496237990711,0.0,0.0,adaptive_increase,98.63181441293906,118.35817729552687,0.0,0.0,adaptive_decrease,134.63114658407932,134.63114658407932,0.0,0.0,spiteful,102.52199858561445,153.78299787842167,0.0,-50.65586208964578,timid,118.85611290587535,59.428056452937675,0.0,0.0,epsilon_greedy,140.2849098249398,140.2849098249398,0.0,0.0,trend_follower,141.8527446257354,141.8527446257354,0.0,0.0,memory_3_avg,59.69404022701042,90.70767105760073,0.0,0.0,competitor_aware,80.750720651178,85.750720651178,0.0,0.0,win_stay_lose_shift,62.210711341779266,47.48031442547094,0.0,0.0,strategy_switcher,91.65863896306095,109.99036675567314,0.0,0.0
13,9,224.01620686553133,220.01350572127612,truthful,54.78428312857964,54.78428312857964,0.0,0.0,random,77.36866985053837,157.65714523366893,0.0,0.0,always_zero,55.23314473541193,0.0,0.0,0.0,always_max,144.81292700801805,200.0,0.0,-184.07547030641837,underbid_10_percent,102.83464547047573,92.55118092342816,0.0,0.0,overbid_10_percent,105.10564909269951,115.61621400196947,0.0,0.0,underbid_fixed_10,75.02182437041864,65.02182437041864,0.0,0.0,overbid_fixed_10,63.716759235335154,73.71675923533516,0.0,0.0,imitate_last_winner,123.5176285561532,224.01620686553133,-96.49587716512292,-1060.342657346163,average_past_winners,135.05217189767717,220.01350572127612,0.0,0.0,adaptive_increase,80.07238281892893,96.0868593827147,0.0,0.0,adaptive_decrease,56.110772228044794,56.110772228044794,0.0,0.0,spiteful,95.12975172204091,142.69462758306136,0.0,-50.65586208964578,timid,92.31590596420921,46.157952982104604,0.0,0.0,epsilon_greedy,101.10139901194052,101.10139901194052,0.0,0.0,trend_follower,107.49767264163418,107.49767264163418,0.0,0.0,memory_3_avg,121.03323505798632,90.5416739641767,0.0,0.0,competitor_aware,124.11645432263539,129.11645432263538,0.0,0.0,win_stay_lose_shift,149.36617693713072,92.50329462370075,0.0,0.0,strategy_switcher,108.77461877114374,130.52954252537248,0.0,0.0
14,9,224.01620686553133,220.32140580929575,truthful,56.447934081116315,56.447934081116315,0.0,0.0,random,115.38778649458948,34.70481284692859,0.0,0.0,always_zero,112.87470871525247,0.0,0.0,0.0,always_max,75.2714253995882,200.0,0.0,-184.07547030641837,underbid_10_percent,74.18407758910872,66.76566983019785,0.0,0.0,overbid_10_percent,141.60338611780693,155.76372472958764,0.0,0.0,underbid_fixed_10,92.83080533406164,82.83080533406164,0.0,0.0,overbid_fixed_10,64.82283286151494,74.82283286151494,0.0,0.0,imitate_last_winner,85.86038097725216,224.01620686553133,-134.4610248320436,-1194.8036821782066,average_past_winners,110.09727547405214,220.32140580929575,0.0,0.0,adaptive_increase,66.05628763442311,79.26754516130774,0.0,0.0,adaptive_decrease,73.38106876641265,73.38106876641265,0.0,0.0,spiteful,141.8685088878458,212.8027633317687,0.0,-50.65586208964578,timid,75.90749442868766,37.95374721434383,0.0,0.0,epsilon_greedy,137.45183216905627,137.45183216905627,0.0,0.0,trend_follower,140.8498766076375,140.8498766076375,0.0,0.0,memory_3_avg,123.18371086734902,90.62963808974,0.0,0.0,competitor_aware,89.68636817063289,94.68636817063289,0.0,0.0,win_stay_lose_shift,111.42134834104104,148.79315556143658,0.0,0.0,strategy_switcher,132.00586587998689,158.40703905598426,0.0,0.0
15,9,224.01620686553133,220.58532017045542,truthful,144.82745961026978,144.82745961026978,0.0,0.0,random,126.00952787837171,46.34624375183405,0.0,0.0,always_zero,100.90842617275476,0.0,0.0,0.0,always_max,89.84988160712057,200.0,0.0,-184.07547030641837,underbid_10_percent,103.84009875907573,93.45608888316816,0.0,0.0,overbid_10_percent,110.84136046918948,121.92549651610844,0.0,0.0,underbid_fixed_10,92.3720293923192,82.3720293923192,0.0,0.0,overbid_fixed_10,142.11387180929458,152.11387180929458,0.0,0.0,imitate_last_winner,55.53378246086962,224.01620686553133,-165.0515377095858,-1359.8552198877924,average_past_winners,56.85787700302204,220.58532017045542,0.0,0.0,adaptive_increase,68.14352722255893,81.77223266707071,0.0,0.0,adaptive_decrease,89.72341836363275,89.72341836363275,0.0,0.0,spiteful,123.64695282517893,185.4704292377684,0.0,-50.65586208964578,timid,126.66662630545473,63.333313152727364,0.0,0.0,epsilon_greedy,54.629564320474756,54.629564320474756,0.0,0.0,trend_follower,91.02157972437396,91.02157972437396,0.0,0.0,memory_3_avg,51.90034011198868,90.62632770383914,0.0,0.0,competitor_aware,140.6613240595235,145.6613240595235,0.0,0.0,win_stay_lose_shift,64.45549421175423,111.09112160183105,0.0,0.0,strategy_switcher,133.44174396772178,160.13009276126613,0.0,0.0
16,9,224.01620686553133,220.81404595012717,truthful,63.952647876889316,63.952647876889316,0.0,0.0,random,137.11940426915544,148.8668347626355,0.0,0.0,always_zero,65.25641386249322,0.0,0.0,0.0,always_max,104.96002556982216,200.0,0.0,-184.07547030641837,underbid_10_percent,114.69297297858743,103.22367568072869,0.0,0.0,overbid_10_percent,121.01308672488994,133.11439539737896,0.0,0.0,underbid_fixed_10,77.29926203115332,67.29926203115332,0.0,0.0,overbid_fixed_10,76.15685822764739,86.15685822764739,0.0,0.0,imitate_last_winner,81.56696240330143,224.01620686553133,-139.24708354682573,-1499.102303434618,average_past_winners,60.94382329997185,220.81404595012717,0.0,0.0,adaptive_increase,123.10326299749481,147.72391559699378,0.0,0.0,adaptive_decrease,138.85908348070205,138.85908348070205,0.0,0.0,spiteful,142.23401893211297,213.35102839816946,0.0,-50.65586208964578,timid,103.0589627665788,51.5294813832894,0.0,0.0,epsilon_greedy,129.84775569965285,66.04370985638128,0.0,0.0,trend_follower,67.26220725810393,67.26220725810393,0.0,0.0,memory_3_avg,134.84952722595108,90.59921325258529,0.0,0.0,competitor_aware,136.12377819571333,141.12377819571333,0.0,0.0,win_stay_lose_shift,75.8890916238187,154.55335724820114,0.0,0.0,strategy_switcher,75.9243404279206,91.10920851350471,0.0,0.0
17,9,224.01620686553133,221.01418100733991,truthful,103.59925668329626,103.59925668329626,0.0,0.0,random,142.23035803549965,17.67616564375174,0.0,0.0,always_zero,112.61925511832888,0.0,0.0,0.0,always_max,54.1370763451153,200.0,0.0,-184.07547030641837,underbid_10_percent,79.51401927324291,71.56261734591862,0.0,0.0,overbid_10_percent,74.83035877078238,82.31339464786063,0.0,0.0,underbid_fixed_10,116.61082835035872,106.61082835035872,0.0,0.0,overbid_fixed_10,60.40699866169295,70.40699866169295,0.0,0.0,imitate_last_winner,55.31276522129407,224.01620686553133,-165.70141578604586,-1664.8037192206639,average_past_winners,131.87887388386548,221.01418100733991,0.0,0.0,adaptive_increase,100.03310825351026,120.03972990421231,0.0,0.0,adaptive_decrease,89.85225274723862,89.85225274723862,0.0,0.0,spiteful,71.18100099498201,106.77150149247302,0.0,-50.65586208964578,timid,137.72058236921265,68.86029118460633,0.0,0.0,epsilon_greedy,70.96345410127364,70.96345410127364,0.0,0.0,trend_follower,75.86767907043594,75.86767907043594,0.0,0.0,memory_3_avg,83.90612708552794,90.61839301538815,0.0,0.0,competitor_aware,74.80245570896882,79.80245570896882,0.0,0.0,win_stay_lose_shift,59.9274738191927,90.85567674691725,0.0,0.0,strategy_switcher,145.13384679760645,174.16061615712775,0.0,0.0
18,9,224.01620686553133,221.1907707637041,truthful,71.54817134904954,71.54817134904954,0.0,0.0,random,138.29083436370595,78.05835193952244,0.0,0.0,always_zero,53.81809414534607,0.0,0.0,0.0,always_max,96.07095402032182,200.0,0.0,-184.07547030641837,underbid_10_percent,138.17895534930932,124.3610598143784,0.0,0.0,overbid_10_percent,102.46822334774336,112.71504568251771,0.0,0.0,underbid_fixed_10,125.89209126836204,115.89209126836204,0.0,0.0,overbid_fixed_10,125.55776950003465,135.55776950003465,0.0,0.0,imitate_last_winner,147.33309245625108,224.01620686553133,-73.85767830745303,-1738.6613975281168,average_past_winners,77.5730105766441,221.1907707637041,0.0,0.0,adaptive_increase,81.00864302977965,97.21037163573557,0.0,0.0,adaptive_decrease,87.22898978547022,87.22898978547022,0.0,0.0,spiteful,134.66167295238694,201.9925094285804,0.0,-50.65586208964578,timid,113.58309195730283,56.79154597865141,0.0,0.0,epsilon_greedy,115.95020008296304,115.95020008296304,0.0,0.0,trend_follower,89.44084993262724,89.44084993262724,0.0,0.0,memory_3_avg,143.2430937634209,90.61464465727086,0.0,0.0,competitor_aware,95.53498738551644,100.53498738551644,0.0,0.0,win_stay_lose_shift,143.02755510734738,112.55552814770083,0.0,0.0,strategy_switcher,111.2637235640374,133.51646827684488,0.0,0.0
